组数,potential_file,t_min,model,A,beta,C,M,r2,n_points,t_max_used,sigma_noise,resid_mad,mad_ratio,runs_z,runs_p,rho1_bin,bin_excess
79,0.4,0.6,simple,1.357716544683584e-09,0.49649775052822365,2.8961394748967827e-08,,0.00028162588130509203,48,3.0,2.0682249876686975e-08,2.059254457771835e-08,0.9956626914623181,,,-0.47374513882339536,0.27408067407547215
79,0.4,0.6,linear,-1.333344889824069e-09,0.49822883879098323,3.2485899062246315e-08,-7.597978092623044e-10,0.00041110925530052356,48,3.0,2.0682249876686975e-08,2.06664079634165e-08,0.9992340333684716,,,-0.5380597552796512,0.2087003418841697
79,0.4,0.7,simple,1.1263119420159558e-09,0.4980159777030697,2.9115016350396012e-08,,0.00015535261340382522,46,3.0,2.0682249876686975e-08,2.0829620060879474e-08,1.0071254425931009,,,-0.005472579465671394,0.27005699113360243
79,0.4,0.7,linear,-1.659918765090712e-09,0.4989297252123393,3.262873671000738e-08,-7.233551816510611e-10,0.00024212930436018354,46,3.0,2.0682249876686975e-08,2.0780635973662615e-08,1.0047570306694023,,,-0.03000356219597847,0.16814489641033226
79,0.4,0.8,simple,8.820495501962727e-10,0.49883904314177596,2.927053648372995e-08,,7.559915063937162e-05,44,3.0,2.0682249876686975e-08,2.1032716067360086e-08,1.0169452643093804,,,-0.4183028611807446,0.2351761094843999
79,0.4,0.8,linear,-1.6944661993733824e-09,0.4993070691868873,3.241175112538893e-08,-6.187446982116456e-10,0.0001229314484910704,44,3.0,2.0682249876686975e-08,2.0978668511280292e-08,1.0143320304299892,,,-0.4701108521965367,0.24234650732302357
79,0.4,0.9,simple,5.200425282878061e-10,0.49928651834300275,2.9502534909700018e-08,,2.036865076826544e-05,42,3.0,2.0682249876686975e-08,2.1148843863646025e-08,1.0225601174795298,,,-0.18093973200219116,0.21514354014880685
79,0.4,0.9,linear,-1.7540550736287638e-09,0.4995272844558251,3.219260237541184e-08,-5.083724407408189e-10,4.422821718974568e-05,42,3.0,2.0682249876686975e-08,2.0999339987826867e-08,1.0153315095325928,,,-0.1798335460779907,0.1994192402454822
79,0.4,1.0,simple,-7.821299437292274e-13,0.4995306495182135,2.9838039164272916e-08,,-6.793724116604949e-08,40,3.0,2.0682249876686975e-08,2.1170714051902824e-08,1.0236175550594449,,,-0.5,0.327368253530183
79,0.4,1.0,linear,-1.9975040507204717e-09,0.49965949201607546,3.213677796419814e-08,-4.1789801606232854e-10,1.1943315488593953e-05,40,3.0,2.0682249876686975e-08,2.107969083593651e-08,1.019216524392616,,,-0.5,0.31879881836690666
79,0.4,2.0,simple,-2.87178131917559e-08,0.4999818821301477,4.763327675660814e-08,,0.004529675310569692,20,3.0,2.0682249876686975e-08,2.2821150476980175e-08,1.1034172110406697,,,,0.0
79,0.4,2.0,linear,-2.012141845584502e-08,0.4999763961081987,3.9349878854739e-08,1.127594523413463e-09,0.0045322021358793485,20,3.0,2.0682249876686975e-08,2.2827340715123367e-08,1.1037165130112048,,,,0.0
79,0.4,3.0,simple,,,,,,0,3.0,2.0682249876686975e-08,,,,,,
79,0.4,3.0,linear,,,,,,0,3.0,2.0682249876686975e-08,,,,,,
79,0.4,4.0,simple,,,,,,0,3.0,2.0682249876686975e-08,,,,,,
79,0.4,4.0,linear,,,,,,0,3.0,2.0682249876686975e-08,,,,,,
79,0.4,5.0,simple,,,,,,0,3.0,2.0682249876686975e-08,,,,,,
79,0.4,5.0,linear,,,,,,0,3.0,2.0682249876686975e-08,,,,,,
80,0.4,0.1,simple,2.1588746075054945e-08,1.4999850147237337,6.855435246521866e-10,,0.7710764441360787,58,3.0,2.2848964813756437e-08,3.198904137110246e-08,1.4000214728259002,,,-0.08408226380155082,0.8575673326323481
80,0.4,0.1,linear,2.8055697564311034e-08,1.4344219609739997,-5.391056296093413e-08,2.99257053277948e-08,0.7944167385880677,58,3.0,2.2848964813756437e-08,3.031436468594299e-08,1.3267281442742622,,,-0.6500326123708499,0.4518353291215364
80,0.4,0.2,simple,3.0685448869520565e-09,1.3875109069508627,1.9726309065495066e-08,,0.08759685326985989,56,3.0,2.2848964813756437e-08,2.3701566992410433e-08,1.037314696118779,,,-0.09758635489892813,0.11505318556398604
80,0.4,0.2,linear,2.0850803055057452e-08,0.51227074695036,-3.7161657642187623e-09,4.87499841851571e-09,0.0803922349908327,56,3.0,2.2848964813756437e-08,2.406457894602226e-08,1.0532021534530942,,,-0.556386762342089,0.38378725759902643
80,0.4,0.3,simple,6.6898047067750224e-09,0.7561221072351689,1.6897786576930044e-08,,0.03053642912407184,54,3.0,2.2848964813756437e-08,2.5339907649265568e-08,1.1090177544502775,,,-0.42399464598595615,0.278868192251152
80,0.4,0.3,linear,1.4860165353120335e-08,0.5934816725473282,3.7983706903144944e-09,3.611236570306895e-09,0.03404856279675095,54,3.0,2.2848964813756437e-08,2.373450949198481e-08,1.038756446318094,,,-0.4243554895785453,0.542066541652157
80,0.4,0.4,simple,4.312891273519888e-09,0.54012341711185,1.876142376027288e-08,,0.008480484887485096,52,3.0,2.2848964813756437e-08,2.5743661751227195e-08,1.1266883187516652,,,-0.0716290314210906,0.24763094883286427
80,0.4,0.4,linear,9.660530244668887e-09,0.570596764878816,1.1341135030331177e-08,1.6470938625042405e-09,0.01029832852421586,52,3.0,2.2848964813756437e-08,2.450403998130578e-08,1.0724354552182114,,,-0.2987643063529206,0.3211395932826384
80,0.4,0.5,simple,4.718952035215499e-09,0.5048896246077281,1.8116995693590075e-08,,0.004002892325907559,50,3.0,2.2848964813756437e-08,2.6112926961570393e-08,1.1428494539870295,,,-0.07405092097873676,0.1844550196917072
80,0.4,0.5,linear,5.6792015219109065e-09,0.5037282287825163,1.6815502152501684e-08,2.8854459056598747e-10,0.004025966025352212,50,3.0,2.2848964813756437e-08,2.596350424711905e-08,1.1363098704361203,,,-0.11303794110217283,0.09651809202213582
80,0.4,0.6,simple,5.472504533858942e-09,0.5023439933342723,1.7568835313986816e-08,,0.0038569148320846125,48,3.0,2.2848964813756437e-08,2.6077342759011254e-08,1.1412920879159978,,,-0.17806578333591036,0.03299879100862232
80,0.4,0.6,linear,6.868719063611185e-09,0.5016660140519453,1.5743711083519757e-08,3.9118342632943573e-10,0.0038821479992849905,48,3.0,2.2848964813756437e-08,2.6048244903356824e-08,1.1400186010910318,,,-0.17905954363199228,0.03838674844642255
80,0.4,0.7,simple,6.2208400446387805e-09,0.5013792225836851,1.7050607254591745e-08,,0.0037774621425341603,46,3.0,2.2848964813756437e-08,2.577585077649151e-08,1.1280970926513447,,,-0.0765025285809522,0.19183687372300443
80,0.4,0.7,linear,8.189618912766191e-09,0.5009191131790017,1.456962200252157e-08,5.093326349612832e-10,0.00380817694406943,46,3.0,2.2848964813756437e-08,2.6033917524265736e-08,1.1393915539049615,,,-0.12702088802463526,0.07238309980017245
80,0.4,0.8,simple,7.04689391494916e-09,0.5009105258114072,1.649249788382331e-08,,0.0037708059238804603,44,3.0,2.2848964813756437e-08,2.5609320004079798e-08,1.120808763671493,,,-0.3902887280664232,1.414823011995078
80,0.4,0.8,linear,9.817788426545855e-09,0.5005656560309116,1.3115374165565977e-08,6.642118254217367e-10,0.00380981850690032,44,3.0,2.2848964813756437e-08,2.590421086595009e-08,1.1337148565415187,,,-0.3797049507844804,1.4063279782110332
