potential_file,t_min,model,A,beta,C,M,r2,beta_spread,n_points,t_max_used,sigma_noise,resid_mad,mad_ratio,runs_z,runs_p,rho1_bin,bin_excess,dataset,group
0.4,1.0,linear,-1.5550916350901475e-08,0.30001647967405615,6.61771725746719e-08,-4.488925851623559e-09,0.08891958775555531,0.5000373869553922,40,3.0,1.4280607595157519e-08,4.552032892491368e-09,0.3187562477408131,,,-0.5,0.13967784680211304,ca115,78
0.4,2.0,simple,4.01742842473764e-08,0.2999843905366922,1.2630863048652744e-08,,0.03005613615537228,0.4999758489522152,20,3.0,1.4280607595157519e-08,8.43677452670721e-09,0.5907854039465433,,,,0.0,ca115,78
0.4,2.0,linear,-1.4456143752991664e-07,0.30000168663174764,1.9670499389144708e-07,-1.7347613551004134e-08,0.033024050858852294,0.5000041732887687,20,3.0,1.4280607595157519e-08,8.564208658323094e-09,0.5997089830566574,,,,0.0,ca115,78
0.4,3.0,simple,,,,,,,0,3.0,1.4280607595157519e-08,,,,,,,ca115,78
0.4,3.0,linear,,,,,,,0,3.0,1.4280607595157519e-08,,,,,,,ca115,78
0.4,4.0,simple,,,,,,,0,3.0,1.4280607595157519e-08,,,,,,,ca115,78
0.4,4.0,linear,,,,,,,0,3.0,1.4280607595157519e-08,,,,,,,ca115,78
0.4,5.0,simple,,,,,,,0,3.0,1.4280607595157519e-08,,,,,,,ca115,78
0.4,5.0,linear,,,,,,,0,3.0,1.4280607595157519e-08,,,,,,,ca115,78
0.4,0.1,simple,1.4938338887959028e-08,1.499908746416564,1.5817528501074478e-08,,0.7662956242305926,0.02457744723996691,58,3.0,2.0682249876686975e-08,2.3369724633377828e-08,1.1299411221078115,,,-0.0904625052996286,0.7942570182484591,ca115,79
0.4,0.1,linear,1.6776629103171302e-08,1.4967399744024494,-1.5806278341150082e-08,1.8318906409979028e-08,0.7907622541090549,0.013003629272765993,58,3.0,2.0682249876686975e-08,2.4847899446500927e-08,1.2014118190550183,,,-0.6524188065846842,0.4098986506787984,ca115,79
0.4,0.2,simple,5.182350102971584e-09,0.8149832584640893,2.6540638656090247e-08,,0.06867605353755146,0.4305556418082548,56,3.0,2.0682249876686975e-08,2.185117983995446e-08,1.056518510811781,,,-0.398426664609404,0.14987744195981223,ca115,79
0.4,0.2,linear,7.842561237541981e-09,0.7995222686682272,2.0489012847920495e-08,2.2514876847605494e-09,0.07388610662944817,0.4921574816342293,56,3.0,2.0682249876686975e-08,2.0379015534800663e-08,0.9853384257663322,,,-0.6544456281762548,0.07856608867604037,ca115,79
0.4,0.3,simple,3.4653920265281694e-09,0.812985751782058,2.779038710563583e-08,,0.019433907772424708,0.49205436411102954,54,3.0,2.0682249876686975e-08,1.7671726498759767e-08,0.8544392705882222,,,-0.0495105764474645,0.08804289576404348,ca115,79
0.4,0.3,linear,5.891713873199157e-09,0.802024795711312,2.312742708299702e-08,1.5678954268180542e-09,0.021486949518538467,0.49972000426792207,54,3.0,2.0682249876686975e-08,1.7920071795559775e-08,0.8664469244112205,,,-0.044994206585919995,0.04442827750679941,ca115,79
0.4,0.4,simple,2.13360347563165e-09,0.7997279148596128,2.8659443650645987e-08,,0.0037544088045384783,0.497474267140998,52,3.0,2.0682249876686975e-08,2.0207218992731346e-08,0.9770319531584867,,,-0.0031154152846580977,0.18073176447174433,ca115,79
0.4,0.4,linear,9.819582014108312e-09,0.29921357026485107,1.996476492162757e-08,9.338494397641985e-10,0.00391859520743898,0.49543986163368137,52,3.0,2.0682249876686975e-08,2.0153717865664392e-08,0.9744451394711006,,,-0.030769091368514648,0.14916927691594217,ca115,79
0.4,0.5,simple,2.507363692038389e-09,0.29733856935611236,2.790403765387261e-08,,0.0005275173705981961,0.46259979176523036,50,3.0,2.0682249876686975e-08,2.0419947767976027e-08,0.9873175254010148,,,-5.6791724017557054e-05,0.27598664617619034,ca115,79
0.4,0.5,linear,-8.524299732761317e-10,0.49657935001062725,3.213633171633488e-08,-7.559743326336834e-10,0.0006495456876349781,0.4805051487208366,50,3.0,2.0682249876686975e-08,2.034068584487615e-08,0.9834851607611687,,,-0.022743142387462535,0.1530323475470335,ca115,79
