group,substance,disconnect,polished,potential,potential_file,day,max_abs_i,tail_mean,first_i,sigma_noise,saturation_frac,sign_flips,n_points
91,Blank,none,True,0.4,0.4,T,5.87743e-06,9.633966499999999e-08,5.87743e-06,3.0726910076496616e-08,0.005,0.0,200
92,Blank,none,True,0.4,0.4,T,3.79189e-07,5.004401749999999e-08,3.79189e-07,3.151580883668658e-08,0.005,0.0,200
93,Blank,none,True,0.4,0.4,T,5.68783e-07,3.3526297000000004e-08,3.79189e-07,2.245501025793595e-08,0.01,0.0,200
94,Blank,none,True,0.4,0.4,T,3.79189e-07,2.5409527349999998e-08,2.84391e-07,2.9349086561121517e-08,0.005,0.0,200
95,Blank,none,True,0.4,0.4,T,5.68783e-07,2.027783195e-08,5.68783e-07,3.0432453989043136e-08,0.01,0.0,200
96,Sample,none,True,0.4,0.4,T,3.697093e-06,1.9365817500000003e-07,3.697093e-06,4.431402983778391e-09,0.005,0.0,200
97,Sample,none,True,0.4,0.4,T,5.68783e-07,1.2833233249999998e-07,5.68783e-07,3.840129910002421e-09,0.005,0.0,200
98,Sample,none,True,0.4,0.4,T,6.6358e-07,1.033948675e-07,6.6358e-07,3.5455417296282235e-09,0.005,0.0,200
99,Sample,none,True,0.4,0.4,T,4.73986e-07,9.00054855e-08,3.79189e-07,3.4470381515927792e-09,0.005,0.0,200
100,Sample,none,True,0.4,0.4,T,2.84391e-07,8.1487104e-08,2.84391e-07,3.151579835312145e-09,0.01,0.0,200
101,Sample,none,True,0.4,0.4,T,3.886687e-06,1.8955050000000001e-07,3.886687e-06,2.067359045188295e-09,0.005,0.0,200
102,Sample,none,True,0.4,0.4,T,4.73986e-07,1.257606125e-07,3.79189e-07,5.51561329033708e-09,0.005,0.0,200
103,Sample,none,True,0.4,0.4,T,3.79189e-07,1.014243875e-07,3.79189e-07,3.939409271858064e-09,0.01,0.0,200
104,Sample,none,True,0.4,0.4,T,1.89594e-07,8.83966945e-08,9.479726e-08,2.363739915201092e-09,0.01,0.0,200
105,Sample,none,True,0.4,0.4,T,2.84391e-07,7.998165025000001e-08,1.89594e-07,1.6742777703438016e-09,0.01,0.0,200
106,Sample,none,True,0.4,0.4,T,3.981484e-06,1.8777025e-07,3.981484e-06,5.218718725632538e-09,0.005,0.0,200
107,Sample,none,True,0.4,0.4,T,6.6358e-07,1.2478123749999997e-07,6.6358e-07,3.0530238394510164e-09,0.005,0.0,200
108,Sample,none,True,0.4,0.4,T,5.68783e-07,1.007174565e-07,4.73986e-07,2.8561424861617804e-09,0.005,0.0,200
109,Sample,none,True,0.4,0.4,T,5.68783e-07,8.780719375e-08,5.68783e-07,4.431927162035286e-09,0.01,0.0,200
110,Sample,none,True,0.4,0.4,T,4.73986e-07,7.954481025e-08,3.79189e-07,2.9546041299366736e-09,0.01,0.0,200
111,Sample,none,True,0.4,0.4,T,3.886687e-06,1.863141e-07,3.886687e-06,3.545541729628251e-09,0.005,0.0,200
112,Sample,none,True,0.4,0.4,T,4.73986e-07,1.239287025e-07,4.73986e-07,3.0527093324968765e-09,0.01,0.0,200
113,Sample,none,True,0.4,0.4,T,5.68783e-07,1.00045757e-07,5.68783e-07,3.0531286751023725e-09,0.01,0.0,200
114,Sample,none,True,0.4,0.4,T,5.68783e-07,8.727406075000001e-08,5.68783e-07,2.6591458136560403e-09,0.01,0.0,200
115,Sample,none,True,0.4,0.4,T,3.79189e-07,7.90140255e-08,3.79189e-07,2.757628424561188e-09,0.01,0.0,200
