file,potential,t_min,model,A,beta,C,M,r2,n_points,t_max_used,sigma_noise,resid_mad,mad_ratio,runs_z,runs_p,rho1_bin,bin_excess
Ca2,0.4,0.1,linear,1.5444727155099052e-06,0.6212833150471525,2.031308096586901e-07,7.556257783838897e-10,0.9997793775722574,854,42.79583433936073,3.938675422298416e-09,3.8585795027526494e-09,0.9796642497900915,-5.706994031320805,1.149888128681758e-08,0.5893240951613316,4.457261027835631
Ca2,0.4,0.2,simple,1.5038167440214474e-06,0.627802272296206,2.325283393612279e-07,,0.9995435464364665,852,42.79583433936073,3.938675422298416e-09,8.139171143203934e-09,2.0664742002158474,-6.013085583249422,1.8202487464319912e-09,0.9110357214537859,10.233293630281867
Ca2,0.4,0.2,linear,1.5902662785377267e-06,0.5951281704843785,1.6209528855026641e-07,1.3200675030771108e-09,0.9999652668135056,852,42.79583433936073,3.938675422298416e-09,2.4296898774033977e-09,0.6168799448789185,-5.706994031320805,1.149888128681758e-08,0.8633748343493718,1.3450013322758576
Ca2,0.4,0.3,simple,1.5024156391371947e-06,0.6352053017761125,2.3766124655990476e-07,,0.9995106159350903,850,42.79583433936073,3.938675422298416e-09,7.799531794269266e-09,1.9802423297215606,-6.017235173352152,1.7742123598422517e-09,0.9045064610464574,9.409573028288039
Ca2,0.4,0.3,linear,1.5904406450863853e-06,0.5949002629455977,1.6181395995149586e-07,1.3231091223938545e-09,0.9999570995863871,850,42.79583433936073,3.938675422298416e-09,2.425560343215763e-09,0.6158314872770922,-5.710417138382707,1.126995986321507e-08,0.893002548010546,1.3710792141882007
Ca2,0.4,0.4,simple,1.5029859768774296e-06,0.6405462725194582,2.4100749035908984e-07,,0.9994640457028958,848,42.79583433936073,3.938675422298416e-09,7.510572510878505e-09,1.9068777458427146,-5.700055704218277,1.1976828581139612e-08,0.8945441178722296,9.280782787239774
Ca2,0.4,0.4,linear,1.5930743023834046e-06,0.5925452883245423,1.5857483224860446e-07,1.361329856154412e-09,0.9999509621193875,848,42.79583433936073,3.938675422298416e-09,2.4380988438367667e-09,0.6190149180695913,-5.710417138382707,1.126995986321507e-08,0.878301757028503,1.0914695671554298
Ca2,0.4,0.5,simple,1.504503553647439e-06,0.6457802028749535,2.4409395658144017e-07,,0.9994304984241387,846,42.79583433936073,3.938675422298416e-09,7.1214250006588985e-09,1.8080761263905285,-5.700055704218277,1.1976828581139612e-08,0.8844696393751067,8.531227232581553
Ca2,0.4,0.5,linear,1.594569920635712e-06,0.5908839353422507,1.5641061413466864e-07,1.3855779470106012e-09,0.999944743104211,846,42.79583433936073,3.938675422298416e-09,2.4543401883348373e-09,0.6231384730104533,-5.710417138382707,1.126995986321507e-08,0.8620475865703555,0.9751786337428628
Ca2,0.4,0.6,simple,1.506716111736819e-06,0.6506890614571791,2.468248550956357e-07,,0.9994009837691806,844,42.79583433936073,3.938675422298416e-09,6.86079883647522e-09,1.7419051079034074,-5.700055704218277,1.1976828581139612e-08,0.8879738739625602,8.373049399660417
Ca2,0.4,0.6,linear,1.5958210036583082e-06,0.5892550803490993,1.543573932523863e-07,1.407817905391484e-09,0.999938664355903,844,42.79583433936073,3.938675422298416e-09,2.472620144062799e-09,0.6277796159755403,-5.092686479387848,3.5302520672783996e-07,0.8257025447317468,0.8662018653216054
Ca2,0.4,0.7,simple,1.509446781686336e-06,0.6553673451355414,2.4930052432725296e-07,,0.9993740385138814,842,42.79583433936073,3.938675422298416e-09,6.6952684600481964e-09,1.699878193095985,-5.700055704218277,1.1976828581139612e-08,0.882151847100809,8.06910810353114
Ca2,0.4,0.7,linear,1.596893649062899e-06,0.5876294675650249,1.5236195000605438e-07,1.4287921704632254e-09,0.999932590028177,842,42.79583433936073,3.938675422298416e-09,2.5065552227391344e-09,0.6363954766489576,-5.39675288928946,6.785774391185657e-08,0.7836495426612086,0.794763498538646
Ca2,0.4,0.8,simple,1.5126776692778096e-06,0.6599807021977917,2.5163353755043753e-07,,0.9993520642865809,840,42.79583433936073,3.938675422298416e-09,6.6386942962889014e-09,1.6855144393733485,-5.6166342864407595,1.9471293464122916e-08,0.8688772342509546,7.666903315430274
Ca2,0.4,0.8,linear,1.5976207604730189e-06,0.5863157258081567,1.5079182538236406e-07,1.4448043580374398e-09,0.9999265218263661,840,42.79583433936073,3.938675422298416e-09,2.5298636244651422e-09,0.6423133041485402,-5.308949284349675,1.1025900536642967e-07,0.6861105405259246,0.7637788879280172
Ca2,0.4,0.9,simple,1.5161839526271496e-06,0.6643477833207226,2.5375347936313274e-07,,0.9993301107352753,838,42.79583433936073,3.938675422298416e-09,6.6114117360060464e-09,1.6785876029733757,-5.6166342864407595,1.9471293464122916e-08,0.8717212512644231,7.550449772363207
Ca2,0.4,0.9,linear,1.5983418697692272e-06,0.5847866312546929,1.4900074675045878e-07,1.462619574928556e-09,0.9999208386143775,838,42.79583433936073,3.938675422298416e-09,2.562452443017065e-09,0.650587359524473,-5.308949284349675,1.1025900536642967e-07,0.666707889346896,0.6718073936976434
Ca2,0.4,1.0,simple,1.519849224057868e-06,0.6684394321893418,2.5566663022998365e-07,,0.9993064310856485,836,42.79583433936073,3.938675422298416e-09,6.551826525659626e-09,1.663459367219527,-5.6166342864407595,1.9471293464122916e-08,0.8690991525966465,7.691114412903417
Ca2,0.4,1.0,linear,1.5991191982086581e-06,0.5828675508726154,1.4678691705788768e-07,1.4841458550230512e-09,0.999915540517914,836,42.79583433936073,3.938675422298416e-09,2.5914759504799262e-09,0.6579562092901957,-5.308949284349675,1.1025900536642967e-07,0.5203523781408965,0.5934456037859195
Ca2,0.4,2.0,simple,1.5677438507113921e-06,0.7061534757116616,2.707587753172489e-07,,0.9991251635944545,816,42.79583433936073,3.938675422298416e-09,5.035637866831392e-09,1.2785104957678495,-5.53137143344212,3.1773670540302e-08,0.8324012206183763,6.313355282763652
Ca2,0.4,2.0,linear,1.6009166158733664e-06,0.5642121675285989,1.2667369814583107e-07,1.6576095683822361e-09,0.9998626043024902,816,42.79583433936073,3.938675422298416e-09,2.6765927804492266e-09,0.6795667308090342,-4.895224929175284,9.819335177099386e-07,0.6407836285530553,0.3298492905007825
Ca2,0.4,3.0,simple,1.6351149964450699e-06,0.7428974740429933,2.822418701956556e-07,,0.999011268148148,796,42.79583433936073,3.938675422298416e-09,4.4602365380965575e-09,1.13242043577528,-5.437885582940561,5.391657824988772e-08,0.8221877026172326,5.159085633770784
Ca2,0.4,3.0,linear,1.5997326472293965e-06,0.5527944905005906,1.1469970006799718e-07,1.7491911146605831e-09,0.9997940742329176,796,42.79583433936073,3.938675422298416e-09,2.6768303058821254e-09,0.6796270367259813,-4.15935524791072,3.191471997785558e-05,0.7347082353946027,0.29734616403980363
Ca2,0.4,4.0,simple,1.7322247687168253e-06,0.786216134720735,2.9356676755169424e-07,,0.9989431908447177,776,42.79583433936073,3.938675422298416e-09,3.808309035725627e-09,0.9669009571505354,-5.3546161401469075,8.573823623536934e-08,0.8134476522259392,4.220352580476448
Ca2,0.4,4.0,linear,1.5991723560839166e-06,0.5509537669156136,1.128565937397664e-07,1.7619886098723562e-09,0.9997006347247888,776,42.79583433936073,3.938675422298416e-09,2.7103153951346667e-09,0.6881286484767158,-4.370607691835935,1.2390122764806511e-05,0.7148620529303822,0.2814398723330419
Ca2,0.4,5.0,simple,1.8427427481610925e-06,0.8266783207447758,3.022621349832407e-07,,0.9988728112493162,756,42.79583433936073,3.938675422298416e-09,3.0906686395848453e-09,0.7846974701411887,-5.253269225119601,1.4942286821322493e-07,0.8007834650264518,3.565827675594715
