file,potential,t_min,model,A,beta,C,M,r2,n_points
Ca8,0.4,0.6,simple,1.4788736737394238e-06,0.6626076798038167,2.398127393507781e-07,,0.9980340145207448,2389
Ca8,0.4,0.6,linear,1.5381190628264048e-06,0.5935376130750564,1.6830006012450177e-07,4.832949324688132e-10,0.9998520472334371,2389
Ca8,0.4,0.7,simple,1.4863154544864864e-06,0.6679357158364718,2.414521139750825e-07,,0.9979695318994987,2387
Ca8,0.4,0.7,linear,1.5380690843082696e-06,0.5933778318163339,1.6817863377833885e-07,4.83825005105867e-10,0.9998382629132133,2387
Ca8,0.4,0.8,simple,1.4940737235039972e-06,0.6730449442585187,2.429537816407605e-07,,0.9979154794816869,2385
Ca8,0.4,0.8,linear,1.5380638503893293e-06,0.5933879446172421,1.6818803866617736e-07,4.837786606948265e-10,0.9998248795174761,2385
Ca8,0.4,0.9,simple,1.5020774444857934e-06,0.6779616668004015,2.4433981117470857e-07,,0.9978688472302931,2383
Ca8,0.4,0.9,linear,1.538112339680059e-06,0.5935109110451702,1.682794394597023e-07,4.833859820015451e-10,0.9998117467368329,2383
Ca8,0.4,1.0,simple,1.5100836157250222e-06,0.6825968922669847,2.455975127576043e-07,,0.9978226673477975,2381
Ca8,0.4,1.0,linear,1.5380969433022092e-06,0.5934926677706144,1.6826751973939138e-07,4.834322262297134e-10,0.9997987978738666,2381
Ca8,0.4,2.0,simple,1.5920253815336655e-06,0.7210175548172248,2.5454600190170396e-07,,0.9974092508656219,2361
Ca8,0.4,2.0,linear,1.5349051326241643e-06,0.5901395663925667,1.6613155441122766e-07,4.91507613598817e-10,0.9996773888027499,2361
Ca8,0.4,3.0,simple,1.6929936934519855e-06,0.757541561905855,2.6126403217730037e-07,,0.9972489768847205,2341
Ca8,0.4,3.0,linear,1.5417323303517393e-06,0.5957516638839065,1.6943159517483778e-07,4.797959481280904e-10,0.9995602379130841,2341
Ca8,0.4,4.0,simple,1.8056692263347333e-06,0.7914634047119568,2.6642665643244434e-07,,0.9971744708046494,2321
Ca8,0.4,4.0,linear,1.5552971684027937e-06,0.605001884464439,1.7440665712343288e-07,4.6287624763100953e-10,0.9994426611270982,2321
Ca8,0.4,5.0,simple,1.930434499431595e-06,0.8240382908568433,2.706907809490574e-07,,0.997123917154519,2301
Ca8,0.4,5.0,linear,1.5738441104890292e-06,0.6159019348646662,1.7977057011646e-07,4.451924616219223e-10,0.9993191081404111,2301
Ca9,0.4,0.1,simple,1.4408666432287818e-06,0.6413144447137692,2.355247061895534e-07,,0.9982997106324515,2399
Ca9,0.4,0.1,linear,1.5247824771456419e-06,0.6120326304989345,1.826735004003729e-07,4.693895508711594e-10,0.9995355853341643,2399
Ca9,0.4,0.2,simple,1.43939506667233e-06,0.6404495465750566,2.3527778034133333e-07,,0.9977230764154968,2397
Ca9,0.4,0.2,linear,1.5413535206180252e-06,0.5908917114720691,1.6193176298091406e-07,5.794297188397046e-10,0.9999062658584636,2397
Ca9,0.4,0.3,simple,1.4454589992048304e-06,0.6502305507057731,2.3909911283892576e-07,,0.9975055538499201,2395
Ca9,0.4,0.3,linear,1.5416030516806697e-06,0.590217678405621,1.613140902951388e-07,5.824410212439528e-10,0.9998863447999563,2395
Ca9,0.4,0.4,simple,1.4524706077576742e-06,0.6580609915663364,2.4187881314186704e-07,,0.9973097271619428,2393
Ca9,0.4,0.4,linear,1.541955791651019e-06,0.5887423645090606,1.6000162653798331e-07,5.886931539445136e-10,0.9998709837520054,2393
Ca9,0.4,0.5,simple,1.4603386861123078e-06,0.6652393596011025,2.44245950547094e-07,,0.9971543137517187,2391
Ca9,0.4,0.5,linear,1.5419858133189667e-06,0.5876688472733627,1.5909339937354828e-07,5.928559096602765e-10,0.9998555677061663,2391
Ca9,0.4,0.6,simple,1.4685097339082087e-06,0.6717149962823052,2.4625174004220515e-07,,0.9970121152989906,2389
Ca9,0.4,0.6,linear,1.5418436912820793e-06,0.5864383189343376,1.5808747765340832e-07,5.973369521910528e-10,0.9998416201226493,2389
