scan,potential,current,time
0,2.823690e-01,2.340140e-07,
0,2.774150e-01,1.954970e-07,
0,2.724610e-01,1.585770e-07,
0,2.675070e-01,1.327430e-07,
0,2.625540e-01,1.033385e-07,
0,2.576000e-01,8.586490e-08,
0,2.526460e-01,6.125155e-08,
0,2.476920e-01,4.913276e-08,
0,2.427380e-01,2.808928e-08,
0,2.377840e-01,1.916459e-08,
0,2.328300e-01,9.394400e-10,
0,2.278770e-01,-6.294254e-09,
0,2.229230e-01,-2.179503e-08,
0,2.179690e-01,-2.874689e-08,
0,2.130150e-01,-4.133540e-08,
0,2.080610e-01,-4.885093e-08,
0,2.031070e-01,-5.871506e-08,
0,1.981540e-01,-6.726397e-08,
0,1.932000e-01,-7.477950e-08,
0,1.882460e-01,-8.464362e-08,
0,1.832920e-01,-8.981055e-08,
0,1.783380e-01,-1.008020e-07,
0,1.733840e-01,-1.040901e-07,
0,1.684300e-01,-1.161149e-07,
0,1.634770e-01,-1.179938e-07,
0,1.585230e-01,-1.305823e-07,
0,1.535690e-01,-1.320854e-07,
0,1.486150e-01,-1.442040e-07,
0,1.436610e-01,-1.459890e-07,
0,1.387070e-01,-1.573560e-07,
0,1.337540e-01,-1.599860e-07,
0,1.288001e-01,-1.700380e-07,
0,1.238463e-01,-1.740780e-07,
0,1.188924e-01,-1.823450e-07,
0,1.139386e-01,-1.884510e-07,
0,1.089847e-01,-1.947460e-07,
0,1.040309e-01,-2.025430e-07,
0,9.907701e-02,-2.075220e-07,
0,9.412316e-02,-2.175740e-07,
0,8.916931e-02,-2.201100e-07,
0,8.421546e-02,-2.319470e-07,
0,7.926161e-02,-2.344840e-07,
0,7.430775e-02,-2.474480e-07,
0,6.935391e-02,-2.497030e-07,
0,6.440006e-02,-2.634190e-07,
0,5.944621e-02,-2.665190e-07,
0,5.449236e-02,-2.800470e-07,
0,4.953850e-02,-2.846500e-07,
0,4.458466e-02,-2.979900e-07,
0,3.963080e-02,-3.048480e-07,
0,3.467696e-02,-3.173430e-07,
0,2.972310e-02,-3.267370e-07,
0,2.476925e-02,-3.383860e-07,
0,1.981540e-02,-3.507870e-07,
0,1.486155e-02,-3.622480e-07,
0,9.907701e-03,-3.775610e-07,
0,4.953850e-03,-3.883640e-07,
1,0.000000e+00,-4.072470e-07,
1,-4.953850e-03,-4.181450e-07,
1,-9.907701e-03,-4.396580e-07,
1,-1.486155e-02,-4.519650e-07,
1,-1.981540e-02,-4.762020e-07,
1,-2.476925e-02,-4.902000e-07,
1,-2.972310e-02,-5.165980e-07,
1,-3.467696e-02,-5.336960e-07,
1,-3.963080e-02,-5.613150e-07,
1,-4.458466e-02,-5.821710e-07,
1,-4.953850e-02,-6.114820e-07,
1,-5.449236e-02,-6.367530e-07,
1,-5.944621e-02,-6.668150e-07,
1,-6.440006e-02,-6.969710e-07,
1,-6.935391e-02,-7.282540e-07,
1,-7.430775e-02,-7.632950e-07,
1,-7.926161e-02,-7.958000e-07,
1,-8.421546e-02,-8.356320e-07,
1,-8.916931e-02,-8.695460e-07,
1,-9.412316e-02,-9.137000e-07,
1,-9.907701e-02,-9.483650e-07,
1,-1.040309e-01,-9.959010e-07,
1,-1.089847e-01,-1.033384e-06,
1,-1.139386e-01,-1.083081e-06,
1,-1.188924e-01,-1.122819e-06,
1,-1.238463e-01,-1.173361e-06,
1,-1.288001e-01,-1.215824e-06,
1,-1.337540e-01,-1.266366e-06,
1,-1.387070e-01,-1.310989e-06,
1,-1.436610e-01,-1.360686e-06,
1,-1.486150e-01,-1.407282e-06,
1,-1.535690e-01,-1.454348e-06,
1,-1.585230e-01,-1.502353e-06,
1,-1.634770e-01,-1.546977e-06,
1,-1.684300e-01,-1.595546e-06,
1,-1.733840e-01,-1.636881e-06,
1,-1.783380e-01,-1.685169e-06,
1,-1.832920e-01,-1.723216e-06,
1,-1.882460e-01,-1.769906e-06,
1,-1.932000e-01,-1.803820e-06,
1,-1.981540e-01,-1.848255e-06,
1,-2.031070e-01,-1.879445e-06,
1,-2.080610e-01,-1.920217e-06,
1,-2.130150e-01,-1.948870e-06,
1,-2.179690e-01,-1.985038e-06,
1,-2.229230e-01,-2.011624e-06,
1,-2.278770e-01,-2.042532e-06,
1,-2.328300e-01,-2.067333e-06,
1,-2.377840e-01,-2.092980e-06,
1,-2.427380e-01,-2.116278e-06,
1,-2.476920e-01,-2.136382e-06,
1,-2.526460e-01,-2.158553e-06,
1,-2.576000e-01,-2.173960e-06,
1,-2.625540e-01,-2.195003e-06,
1,-2.675070e-01,-2.206277e-06,
1,-2.724610e-01,-2.226099e-06,
1,-2.774150e-01,-2.234554e-06,
1,-2.823690e-01,-2.253155e-06,
1,-2.873230e-01,-2.258603e-06,
1,-2.922770e-01,-2.275983e-06,
1,-2.972310e-01,-2.281432e-06,
1,-3.021840e-01,-2.296839e-06,
1,-2.972310e-01,-2.134879e-06,
1,-2.922770e-01,-2.018858e-06,
1,-2.873230e-01,-1.915144e-06,
1,-2.823690e-01,-1.829279e-06,
1,-2.774150e-01,-1.750648e-06,
1,-2.724610e-01,-1.680002e-06,
1,-2.675070e-01,-1.617435e-06,
1,-2.625540e-01,-1.556183e-06,
1,-2.576000e-01,-1.505172e-06,
1,-2.526460e-01,-1.450214e-06,
1,-2.476920e-01,-1.407188e-06,
1,-2.427380e-01,-1.356740e-06,
1,-2.377840e-01,-1.319162e-06,
1,-2.328300e-01,-1.271721e-06,
1,-2.278770e-01,-1.237901e-06,
1,-2.229230e-01,-1.193653e-06,
1,-2.179690e-01,-1.161148e-06,
1,-2.130150e-01,-1.119625e-06,
1,-2.080610e-01,-1.088154e-06,
1,-2.031070e-01,-1.049167e-06,
1,-1.981540e-01,-1.016662e-06,
1,-1.932000e-01,-9.807760e-07,
1,-1.882460e-01,-9.474260e-07,
1,-1.832920e-01,-9.137000e-07,
1,-1.783380e-01,-8.784710e-07,
1,-1.733840e-01,-8.473750e-07,
1,-1.684300e-01,-8.102670e-07,
1,-1.634770e-01,-7.812390e-07,
1,-1.585230e-01,-7.432850e-07,
1,-1.535690e-01,-7.154780e-07,
1,-1.486150e-01,-6.768670e-07,
1,-1.436610e-01,-6.499990e-07,
1,-1.387070e-01,-6.114820e-07,
1,-1.337540e-01,-5.848950e-07,
1,-1.288001e-01,-5.478810e-07,
1,-1.238463e-01,-5.210130e-07,
1,-1.188924e-01,-4.857840e-07,
1,-1.139386e-01,-4.583530e-07,
1,-1.089847e-01,-4.260360e-07,
1,-1.040309e-01,-3.975710e-07,
1,-9.907701e-02,-3.683540e-07,
1,-9.412316e-02,-3.397950e-07,
1,-8.916931e-02,-3.134910e-07,
1,-8.421546e-02,-2.833350e-07,
1,-7.926161e-02,-2.604130e-07,
1,-7.430775e-02,-2.300690e-07,
1,-6.935391e-02,-2.097770e-07,
1,-6.440006e-02,-1.798080e-07,
1,-5.944621e-02,-1.617710e-07,
1,-5.449236e-02,-1.328370e-07,
1,-4.953850e-02,-1.159270e-07,
1,-4.458466e-02,-8.858927e-08,
1,-3.963080e-02,-7.233694e-08,
1,-3.467696e-02,-4.725388e-08,
1,-2.972310e-02,-3.109549e-08,
1,-2.476925e-02,-8.830744e-09,
1,-1.981540e-02,7.891304e-09,
1,-1.486155e-02,2.696195e-08,
1,-9.907701e-03,4.452950e-08,
1,-4.953850e-03,6.059394e-08,
1,0.000000e+00,7.872515e-08,
1,4.953850e-03,9.197126e-08,
1,9.907701e-03,1.111359e-07,
1,1.486155e-02,1.213758e-07,
1,1.981540e-02,1.408220e-07,
1,2.476925e-02,1.492770e-07,
1,2.972310e-02,1.684410e-07,
1,3.467696e-02,1.755810e-07,
1,3.963080e-02,1.936180e-07,
1,4.458466e-02,2.003820e-07,
1,4.953850e-02,2.169160e-07,
1,5.449236e-02,2.237740e-07,
1,5.944621e-02,2.380540e-07,
1,6.440006e-02,2.458510e-07,
1,6.935391e-02,2.575000e-07,
1,7.430775e-02,2.664250e-07,
1,7.926161e-02,2.756310e-07,
1,8.421546e-02,2.858710e-07,
1,8.916931e-02,2.925410e-07,
1,9.412316e-02,3.033450e-07,
1,9.907701e-02,3.080420e-07,
1,1.040309e-01,3.208190e-07,
1,1.089847e-01,3.237310e-07,
1,1.139386e-01,3.368830e-07,
1,1.188924e-01,3.387620e-07,
1,1.238463e-01,3.519140e-07,
1,1.288001e-01,3.535110e-07,
1,1.337540e-01,3.658180e-07,
1,1.387070e-01,3.681660e-07,
1,1.436610e-01,3.793460e-07,
1,1.486150e-01,3.826340e-07,
1,1.535690e-01,3.916520e-07,
1,1.585230e-01,3.969130e-07,
1,1.634770e-01,4.039590e-07,
1,1.684300e-01,4.108170e-07,
1,1.733840e-01,4.161720e-07,
1,1.783380e-01,4.244390e-07,
1,1.832920e-01,4.278210e-07,
1,1.882460e-01,4.379670e-07,
1,1.932000e-01,4.400340e-07,
1,1.981540e-01,4.511190e-07,
1,2.031070e-01,4.519650e-07,
1,2.080610e-01,4.638010e-07,
1,2.130150e-01,4.643650e-07,
1,2.179690e-01,4.762020e-07,
1,2.229230e-01,4.771420e-07,
1,2.278770e-01,4.879450e-07,
1,2.328300e-01,4.902000e-07,
1,2.377840e-01,4.996880e-07,
1,2.427380e-01,5.037280e-07,
1,2.476920e-01,5.113370e-07,
1,2.526460e-01,5.172560e-07,
1,2.576000e-01,5.230800e-07,
1,2.625540e-01,5.305020e-07,
1,2.675070e-01,5.347290e-07,
1,2.724610e-01,5.441240e-07,
1,2.774150e-01,5.467540e-07,
1,2.823690e-01,5.568060e-07,
1,2.873230e-01,5.586850e-07,
1,2.922770e-01,5.705220e-07,
1,2.972310e-01,5.716490e-07,
1,3.021840e-01,5.835800e-07,
1,2.972310e-01,4.474550e-07,
1,2.922770e-01,3.681660e-07,
1,2.873230e-01,2.992110e-07,
1,2.823690e-01,2.515820e-07,
1,2.774150e-01,2.064890e-07,
1,2.724610e-01,1.727630e-07,
1,2.675070e-01,1.408220e-07,
1,2.625540e-01,1.147997e-07,
1,2.576000e-01,9.244098e-08,
1,2.526460e-01,7.073990e-08,
1,2.476920e-01,5.486335e-08,
1,2.427380e-01,3.569876e-08,
1,2.377840e-01,2.480124e-08,
1,2.328300e-01,6.857918e-09,
1,2.278770e-01,-5.636640e-10,
1,2.229230e-01,-1.737966e-08,
1,2.179690e-01,-2.245264e-08,
1,2.130150e-01,-3.842313e-08,
1,2.080610e-01,-4.265062e-08,
1,2.031070e-01,-5.674223e-08,
1,1.981540e-01,-6.106366e-08,
1,1.932000e-01,-7.346428e-08,
1,1.882460e-01,-7.872515e-08,
1,1.832920e-01,-8.896506e-08,
1,1.783380e-01,-9.563509e-08,
1,1.733840e-01,-1.033385e-07,
1,1.684300e-01,-1.114177e-07,
1,1.634770e-01,-1.171483e-07,
1,1.585230e-01,-1.268245e-07,
1,1.535690e-01,-1.305823e-07,
1,1.486150e-01,-1.416670e-07,
1,1.436610e-01,-1.441100e-07,
1,1.387070e-01,-1.559470e-07,
1,1.337540e-01,-1.573560e-07,
1,1.288001e-01,-1.697560e-07,
1,1.238463e-01,-1.707900e-07,
1,1.188924e-01,-1.828150e-07,
1,1.139386e-01,-1.847880e-07,
1,1.089847e-01,-1.956850e-07,
1,1.040309e-01,-1.988790e-07,
1,9.907701e-02,-2.085550e-07,
1,9.412316e-02,-2.137220e-07,
1,8.916931e-02,-2.209560e-07,
1,8.421546e-02,-2.283780e-07,
1,7.926161e-02,-2.348600e-07,
1,7.430775e-02,-2.441600e-07,
1,6.935391e-02,-2.489510e-07,
1,6.440006e-02,-2.606000e-07,
1,5.944621e-02,-2.643580e-07,
1,5.449236e-02,-2.776040e-07,
1,4.953850e-02,-2.810800e-07,
1,4.458466e-02,-2.958290e-07,
1,3.963080e-02,-2.995870e-07,
1,3.467696e-02,-3.149940e-07,
1,2.972310e-02,-3.200670e-07,
1,2.476925e-02,-3.355680e-07,
1,1.981540e-02,-3.427080e-07,
1,1.486155e-02,-3.583020e-07,
1,9.907701e-03,-3.681660e-07,
1,4.953850e-03,-3.830100e-07,
2,0.000000e+00,-3.964440e-07,
2,-4.953850e-03,-4.106290e-07,
2,-9.907701e-03,-4.276330e-07,
2,-1.486155e-02,-4.419130e-07,
2,-1.981540e-02,-4.626740e-07,
2,-2.476925e-02,-4.772350e-07,
2,-2.972310e-02,-5.017550e-07,
2,-3.467696e-02,-5.176310e-07,
2,-3.963080e-02,-5.447810e-07,
2,-4.458466e-02,-5.626310e-07,
2,-4.953850e-02,-5.929750e-07,
2,-5.449236e-02,-6.136420e-07,
2,-5.944621e-02,-6.460530e-07,
2,-6.440006e-02,-6.704780e-07,
2,-6.935391e-02,-7.049560e-07,
2,-7.430775e-02,-7.338910e-07,
2,-7.926161e-02,-7.694960e-07,
2,-8.421546e-02,-8.032210e-07,
2,-8.916931e-02,-8.398600e-07,
2,-9.412316e-02,-8.783770e-07,
2,-9.907701e-02,-9.149210e-07,
2,-1.040309e-01,-9.580410e-07,
2,-1.089847e-01,-9.959950e-07,
2,-1.139386e-01,-1.042779e-06,
2,-1.188924e-01,-1.081202e-06,
2,-1.238463e-01,-1.130617e-06,
2,-1.288001e-01,-1.169697e-06,
2,-1.337540e-01,-1.220521e-06,
2,-1.387070e-01,-1.260259e-06,
2,-1.436610e-01,-1.311271e-06,
2,-1.486150e-01,-1.351667e-06,
2,-1.535690e-01,-1.400894e-06,
2,-1.585230e-01,-1.441478e-06,
2,-1.634770e-01,-1.488356e-06,
2,-1.684300e-01,-1.529127e-06,
2,-1.733840e-01,-1.572248e-06,
2,-1.783380e-01,-1.612832e-06,
2,-1.832920e-01,-1.651161e-06,
2,-1.882460e-01,-1.691369e-06,
2,-1.932000e-01,-1.724437e-06,
2,-1.981540e-01,-1.762954e-06,
2,-2.031070e-01,-1.791607e-06,
2,-2.080610e-01,-1.828245e-06,
2,-2.130150e-01,-1.852201e-06,
2,-2.179690e-01,-1.885551e-06,
2,-2.229230e-01,-1.905937e-06,
2,-2.278770e-01,-1.935623e-06,
2,-2.328300e-01,-1.952627e-06,
2,-2.377840e-01,-1.978650e-06,
2,-2.427380e-01,-1.993493e-06,
2,-2.476920e-01,-2.014631e-06,
2,-2.526460e-01,-2.028252e-06,
2,-2.576000e-01,-2.044974e-06,
2,-2.625540e-01,-2.058033e-06,
2,-2.675070e-01,-2.070527e-06,
2,-2.724610e-01,-2.083492e-06,
2,-2.774150e-01,-2.092510e-06,
2,-2.823690e-01,-2.106038e-06,
2,-2.873230e-01,-2.110923e-06,
2,-2.922770e-01,-2.125297e-06,
2,-2.972310e-01,-2.129242e-06,
2,-3.021840e-01,-2.143898e-06,
2,-2.972310e-01,-1.984005e-06,
2,-2.922770e-01,-1.875593e-06,
2,-2.873230e-01,-1.774322e-06,
2,-2.823690e-01,-1.697851e-06,
2,-2.774150e-01,-1.620253e-06,
2,-2.724610e-01,-1.559190e-06,
2,-2.675070e-01,-1.496811e-06,
2,-2.625540e-01,-1.444954e-06,
2,-2.576000e-01,-1.393566e-06,
