Ep,bg,bic_margin,cluster,comp,file,fit_line,fwhm,ip,order,order_src,polarity,pon,scan,solution,status,transform_mode
0.1830213473324076,Cv1,-92.0054307804487,5,0,Cv2,joint_locks,0.942703643940978,-2.02468504108881e-06,0.5,baseline_0.5,-1,132.36254812100697,4,sample,multi_resolved,per_scan
0.5944620000015274,Cv1,-92.0054307804487,5,1,Cv2,joint_locks,1.6284651949680229,-1.6428754316664013e-07,0.5,baseline_0.5,-1,8.168066133497216,4,sample,multi_resolved,per_scan
0.18054862810999012,Cv1,-516.3251013544889,0,0,Cv2,frozen,0.9388152105408054,2.2151214692855963e-06,0.5563980654881306,ca_beta,1,110.29370179714546,0,sample,single_resolved,continuous
nan,Cv1,-72.59550663687077,1,-1,Cv2,frozen,nan,nan,0.5563980654881306,ca_beta,0,nan,0,sample,rejected_noise,continuous
0.18850155657485873,Cv1,-835.1541660494022,2,0,Cv2,frozen,0.9443691649539091,2.327760576014071e-06,0.5563980654881306,ca_beta,1,65.40778703915709,1,sample,multi_resolved,continuous
0.18006439830535279,Cv1,-835.1541660494022,2,1,Cv2,frozen,0.9267138471223176,-2.1247007651002784e-06,0.5563980654881306,ca_beta,-1,107.42439723120569,0,sample,multi_resolved,continuous
0.1886400242040529,Cv1,-847.8118128484277,3,0,Cv2,frozen,0.9411486075021117,2.2929460485678385e-06,0.5563980654881306,ca_beta,1,70.84291293092397,2,sample,multi_resolved,continuous
0.17979594569653004,Cv1,-847.8118128484277,3,1,Cv2,frozen,0.9271213171069199,-2.1258377420611134e-06,0.5563980654881306,ca_beta,-1,62.82604013903612,1,sample,multi_resolved,continuous
0.18854056303332106,Cv1,-850.9759505376915,4,0,Cv2,frozen,0.9406688194258158,2.2834800402269246e-06,0.5563980654881306,ca_beta,1,73.40789494716827,3,sample,multi_resolved,continuous
0.1800738377317244,Cv1,-850.9759505376915,4,1,Cv2,frozen,0.9266900097722613,-2.1205971042430503e-06,0.5563980654881306,ca_beta,-1,68.5317958668565,2,sample,multi_resolved,continuous
0.18806711395725437,Cv1,-843.3619076220788,5,0,Cv2,frozen,0.941943029648382,2.290760103935777e-06,0.5563980654881306,ca_beta,1,128.37726100665722,4,sample,multi_resolved,continuous
0.1800515169346736,Cv1,-843.3619076220788,5,1,Cv2,frozen,0.9265783118696942,-2.116211711260653e-06,0.5563980654881306,ca_beta,-1,71.06277286863607,3,sample,multi_resolved,continuous
nan,Cv1,-119.55843447196361,6,-1,Cv2,frozen,nan,nan,0.5563980654881306,ca_beta,0,nan,4,sample,rejected_noise,continuous
0.17326807352483828,Cv1,-554.0937108809331,7,0,Cv2,frozen,0.9183495581241843,-2.0447693460951047e-06,0.5563980654881306,ca_beta,-1,120.49365300785281,4,sample,single_resolved,continuous
0.1805486291041469,Cv1,-516.3251013546283,0,0,Cv2,frozen_locks,0.9388152122264979,2.215121469985222e-06,0.5563980654881306,ca_beta,1,110.29370175623613,0,sample,single_resolved,continuous
nan,Cv1,-72.59267200439677,1,-1,Cv2,frozen_locks,nan,nan,0.5563980654881306,ca_beta,0,nan,0,sample,rejected_noise,continuous
0.1885015564073617,Cv1,-835.1541655856472,2,0,Cv2,frozen_locks,0.9443691509745499,2.3277605871839716e-06,0.5563980654881306,ca_beta,1,65.40778750871472,1,sample,multi_resolved,continuous
0.18006439754180434,Cv1,-835.1541655856472,2,1,Cv2,frozen_locks,0.9267138332490035,-2.1247007711294373e-06,0.5563980654881306,ca_beta,-1,107.424398069647,0,sample,multi_resolved,continuous
0.18864002906344937,Cv1,-847.8118128573612,3,0,Cv2,frozen_locks,0.9411485290661326,2.292946165670618e-06,0.5563980654881306,ca_beta,1,70.84291582865734,2,sample,multi_resolved,continuous
0.17979593887134784,Cv1,-847.8118128573612,3,1,Cv2,frozen_locks,0.9271211729390774,-2.1258377970176245e-06,0.5563980654881306,ca_beta,-1,62.82604514106046,1,sample,multi_resolved,continuous
0.18854057751358716,Cv1,-850.9759501102927,4,0,Cv2,frozen_locks,0.94067119669987,2.283478098963181e-06,0.5563980654881306,ca_beta,1,73.40781155717042,3,sample,multi_resolved,continuous
0.1800738864075537,Cv1,-850.9759501102927,4,1,Cv2,frozen_locks,0.9266914969599515,-2.1205963499225153e-06,0.5563980654881306,ca_beta,-1,68.53173452345537,2,sample,multi_resolved,continuous
0.1880671188310622,Cv1,-843.3619076009079,5,0,Cv2,frozen_locks,0.9419429049634074,2.290760222043869e-06,0.5563980654881306,ca_beta,1,128.37726863717904,4,sample,multi_resolved,continuous
0.18005151157380012,Cv1,-843.3619076009079,5,1,Cv2,frozen_locks,0.9265782081669602,-2.1162117597732294e-06,0.5563980654881306,ca_beta,-1,71.06277710460904,3,sample,multi_resolved,continuous
nan,Cv1,-119.55704030355531,6,-1,Cv2,frozen_locks,nan,nan,0.5563980654881306,ca_beta,0,nan,4,sample,rejected_noise,continuous
0.17326807384248002,Cv1,-554.0937108807473,7,0,Cv2,frozen_locks,0.9183495568838766,-2.044769346009335e-06,0.5563980654881306,ca_beta,-1,120.49365307661058,4,sample,single_resolved,continuous
0.17843775291021702,Cv1,-477.5279422889839,0,0,Cv2,joint_locks,0.939222362843206,2.22019727789648e-06,0.5563980654881306,ca_beta,1,110.69504358457753,0,sample,single_resolved,continuous
nan,Cv1,-137.64895065924418,1,-1,Cv2,joint_locks,nan,nan,0.5563980654881306,ca_beta,0,nan,0,sample,rejected_noise,continuous
0.18585861311364274,Cv1,-767.4182411438677,2,0,Cv2,joint_locks,0.949750403246047,2.3719479827905755e-06,0.5563980654881306,ca_beta,1,66.31563373960914,1,sample,multi_resolved,continuous
0.1771538148273824,Cv1,-767.4182411438677,2,1,Cv2,joint_locks,0.9290319475692382,-2.1573617435693265e-06,0.5563980654881306,ca_beta,-1,108.43872842419383,0,sample,multi_resolved,continuous
0.18563179702196,Cv1,-780.1936680517766,3,0,Cv2,joint_locks,0.9469949007961649,2.3423411243346505e-06,0.5563980654881306,ca_beta,1,71.95923673289631,2,sample,multi_resolved,continuous
