Ep,blank_group,has_peak,ip_pearson,m,noise,nu,peak_over_noise,r2,sample_group,scan,sd_peak_height,sigma
-0.22207289683767328,24,True,1.9488263482004175e-06,85.96538464043996,1.8393056745803798e-08,-95.85173973905921,92.3643573626682,0.9993773215854057,19,2,1.5977012992760566e-06,0.8364487190217577
-0.21914110274834833,25,True,1.95089271727926e-06,85.55152868928828,3.0496802036151745e-08,-94.95644619240623,54.81665871793196,0.9992726904410139,20,0,1.5996906319610833e-06,0.8362750195187371
-0.22127290848986303,25,True,1.9565596826014198e-06,87.4516553159608,3.0012633003630705e-08,-96.15673245555003,55.80944719672578,0.9992959767987335,20,1,1.6034547337372727e-06,0.8470701532184676
-0.21978461032622304,25,True,1.9598501517939483e-06,76.41265434739776,2.9620580213564253e-08,-90.74603320724307,56.488452895599615,0.999328085323323,20,2,1.6039178755176326e-06,0.7819983765087196
0.7197941880590948,26,True,2.555748871507298e-06,39.062132226270954,4.205601314351147e-08,66.32530038387553,35.162675845576246,0.9752717267882471,51,0,1.913942148002118e-06,0.5582766974876151
-0.20214001815199326,26,True,1.9828923102110187e-06,761.3016659055544,1.7392195492741952e-08,-227.76037210965546,87.6150089702008,0.9797242726014351,51,1,1.5694258117780668e-06,2.9557450219778327
-0.25679427947582895,26,True,1.7504446165460267e-06,47.910961562350266,4.134921550584151e-08,-87.89586012565614,38.037458287159744,0.9685639203745053,51,2,1.4228044078280284e-06,0.5396888586916843
-0.1754335164718814,27,True,1.6380059182095004e-06,24.01530784309421,3.348302106445768e-08,-64.02861707064889,48.2360510195844,0.9612531345972268,52,0,1.3483392047768298e-06,0.310689786082167
-0.1554119643821469,27,True,1.5544291666539467e-06,18.50104241989898,4.626219991969637e-08,-66.99687942119385,35.66447921808856,0.9495470699588471,52,1,1.2941459093716474e-06,0.21711184140467632
-0.1329859217080878,27,True,1.4706334128181347e-06,16.67461797624017,3.460911412056134e-08,-67.15267602595493,47.56963038597391,0.9374760631519808,52,2,1.2440132798614902e-06,0.1835273715831912
-0.10499267591426391,28,True,1.4052443063402602e-06,14.0241472421825,5.197923868114438e-08,-64.14069461697338,32.293643740436835,0.9262240987753888,53,0,1.2014265580101257e-06,0.14941944826381992
-0.08137935415422598,28,True,1.3657308459197868e-06,12.550155298298098,3.465129153966666e-08,-56.27806503986164,48.05761990638922,0.9185550058746895,53,1,1.1766674202496245e-06,0.141432450045737
