fp_Ehalf,fp_Ehalf_err,fp_Epa,fp_Epc,fp_ipa,fp_ipc,lin_Ehalf,lin_Ehalf_err,lin_Epa,lin_Epc,lin_ipa,lin_ipc,n_blanks,pearson_Ehalf,pearson_Ehalf_err,pearson_a_Ep,pearson_a_expon,pearson_a_ip,pearson_a_peak_over_noise,pearson_a_r2,pearson_a_redchi,pearson_a_sd_height,pearson_a_sigma,pearson_a_skew,pearson_c_Ep,pearson_c_expon,pearson_c_ip,pearson_c_peak_over_noise,pearson_c_r2,pearson_c_redchi,pearson_c_sd_height,pearson_c_sigma,pearson_c_skew,pearson_ip_ratio,plan,sample,scan
nan,nan,-0.222923,nan,4.3227470277380663e-07,nan,-0.108984575,-0.298984575,-0.222923,0.00495385,4.3227470277380663e-07,-3.645593e-06,10,0.1932001550034814,0.003200155003481392,0.297231,6.2127257553602595,6.706129769039932e-07,75.68334979142523,0.9449761977393724,0.0035975506255345496,0.6983856509353691,1.163828828870908,7.927111300767933,0.08916931000696277,17.20612646749219,-1.6817953617203646e-06,56.8319821775534,0.9766184850329541,0.006871938765039573,1.5146282645747207,3.345097353343937,6.2872120794645525,2.5078479236782427,Y_unpolished_10,11,1
nan,nan,-0.23283,nan,4.1113000685013126e-07,nan,-0.116415,-0.306415,-0.23283,0.0,4.1113000685013126e-07,-3.665886e-06,10,0.19567708000247336,0.005677080002473356,0.297231,6.185556708400799,6.746964481200271e-07,75.75395283691647,0.9466643580494322,0.003503828850448169,0.7016932297123819,1.1621974974545073,7.921703351675433,0.09412316000494672,18.069238645721317,-1.764028706128442e-06,45.900950795254964,0.977045582091602,0.007230496378309414,1.5679328924829223,3.5461744739198817,5.900545411997314,2.614551641769759,Y_unpolished_10,11,2
nan,nan,-0.23283,nan,3.9138481564212525e-07,nan,-0.113938075,-0.30393807500000003,-0.23283,0.00495385,3.9138481564212525e-07,-3.675843e-06,10,0.19567708000305917,0.005677080003059165,0.297231,6.275901049004743,6.695517722507139e-07,63.622810145020345,0.9457437439946232,0.003528031329120984,0.697123554391863,1.1736822161477996,7.957858050490927,0.09412316000611833,15.452096581542143,-1.7516945052186365e-06,43.81666935986208,0.975294369316724,0.00760047450926452,1.557995172372469,3.252371571629423,5.553027181669449,2.616219652933297,Y_unpolished_10,12,0
nan,nan,-0.23283,nan,3.9244077856206804e-07,nan,-0.113938075,-0.30393807500000003,-0.23283,0.00495385,3.9244077856206804e-07,-3.6816680000000002e-06,10,0.19320015502833598,0.0032001550283359825,0.297231,6.589625963442909,6.701672890101433e-07,80.59471286233027,0.9457046227720356,0.0035622340654199226,0.6989179685351885,1.2137771182284318,8.141370758874245,0.08916931005667197,16.798267863567176,-1.676982097777508e-06,60.49733523358578,0.9769380439025794,0.006759476384853776,1.5115560968589616,3.294348297831193,6.260363373274913,2.5023335595123712,Y_unpolished_10,12,1
nan,nan,-0.23283,nan,3.885721439421014e-07,nan,-0.116415,-0.306415,-0.23283,0.0,3.885721439421014e-07,-3.679131e-06,10,0.1932001550011088,0.00320015500110879,0.297231,6.67525581564476,6.705954088555861e-07,80.38213507369254,0.9475650027506329,0.003448041670998088,0.6998921637036061,1.2235629371229502,8.194790318806668,0.08916931000221755,19.924705424348538,-1.689566385242902e-06,44.22202558271208,0.9787483916856953,0.006344091574290113,1.5204613721285833,3.627089889655746,6.7362916051470165,2.5195018679389034,Y_unpolished_10,12,2
nan,nan,-0.23283,nan,3.744918033118894e-07,nan,-0.113938075,-0.30393807500000003,-0.23283,0.00495385,3.744918033118894e-07,-3.676219e-06,10,0.19567708004303044,0.005677080043030441,0.29723099999859925,6.30302695968118,6.694274601844735e-07,64.12189631937468,0.9517757306830643,0.0031970142944302126,0.6959775385007394,1.2094413975313776,7.392652016365673,0.09412316008746162,15.899772502048876,-1.7562204454851116e-06,53.67131421309286,0.9755410648928161,0.00754917870014427,1.5615522349851574,3.304894732508685,5.652455350215519,2.623466394702649,Y_unpolished_10,13,0
nan,nan,-0.23283,nan,3.798331247319515e-07,nan,-0.113938075,-0.30393807500000003,-0.23283,0.00495385,3.798331247319515e-07,-3.676219e-06,10,0.19072315501746068,0.0007231550174606749,0.2922769999015508,6.3612810326101625,6.790142107213527e-07,85.39344555440155,0.9502907498778114,0.0034049815204359735,0.7066719237209572,1.2494935189028733,6.75615672982758,0.08916931013337055,17.46088634950982,-1.6716640860264047e-06,54.15369118577338,0.9775858013031944,0.006551334502627264,1.508777613751517,3.3541316294084336,6.397482637904318,2.461898528236261,Y_unpolished_10,13,1
nan,nan,-0.237784,nan,3.7692705821618604e-07,nan,-0.118892,-0.308892,-0.237784,0.0,3.7692705821618604e-07,-3.676407e-06,10,0.1932001550052073,0.003200155005207289,0.297231,6.57753630170899,6.787118800710427e-07,64.3927020655093,0.9490613109200999,0.0034048198617401236,0.7074517068675039,1.2105395970239137,8.182681246745801,0.08916931001041457,18.87962180320602,-1.6841354160978372e-06,46.38731618519239,0.979301057065769,0.006158893291283197,1.5174245120625514,3.513601098448471,6.584679421645546,2.481370174221135,Y_unpolished_10,13,2
nan,nan,-0.237784,nan,3.66973556561565e-07,nan,-0.11641507499999999,-0.306415075,-0.237784,0.00495385,3.66973556561565e-07,-3.672368e-06,10,0.19072315499024106,0.0007231549902410594,0.2922769999796664,6.26217475775003,6.777655136147759e-07,66.17236503696573,0.9500010951887424,0.0034173621043526617,0.7056904900584414,1.23329560661834,6.723531937681514,0.08916931000081574,18.639220727983954,-1.6668773411014925e-06,50.90834389122155,0.9772417493592074,0.006636932454542921,1.5052910474090666,3.469386305503382,6.650516140108721,2.459371726087707,Y_unpolished_10,14,0
nan,nan,-0.237784,nan,3.705603577423026e-07,nan,-0.11641507499999999,-0.306415075,-0.237784,0.00495385,3.705603577423026e-07,-3.6706759999999996e-06,10,0.19320008000466019,0.003200080004660183,0.29227699999872875,6.433296635043887,6.823842977763468e-07,88.21153948270498,0.9517614214290889,0.0033242824775412206,0.7099308798964742,1.2602249510041408,6.798068029187448,0.09412316001059162,14.603193795256026,-1.7627706928731758e-06,49.58598928886582,0.9757386852083141,0.007529834559241486,1.5672852047187331,3.1561533675517497,5.414081210320319,2.5832521331710483,Y_unpolished_10,14,1
