E_peak,baseline,blank,branch,day,is_baseline,peak_over_noise,polished,resid_max_abs,resid_neg_mean,resid_rms,scan,sd_height
nan,6,8,none,Y,False,nan,False,4.31209999999999e-08,-8.246436669999992e-09,2.0465346212230867e-08,2,nan
nan,6,9,none,Y,False,nan,False,1.0991399999999996e-07,1.3517635930000002e-08,5.6663352663765e-08,0,nan
-0.00495385,6,9,cathodic,Y,False,10.210488226360907,False,7.224300000000005e-08,-1.7288478949999995e-08,3.6409420412341634e-08,1,0.12322631853425452
-0.297231,6,9,anodic,Y,False,18.477784690008193,False,4.227499999999995e-08,-5.928839249999998e-09,1.899686212309111e-08,2,0.035862447570233054
0.1288001,6,9,anodic,Y,False,9.444711828949194,False,4.227499999999995e-08,-5.928839249999998e-09,1.899686212309111e-08,2,0.01833068673891449
0.242738,6,9,anodic,Y,False,14.98147220628109,False,4.227499999999995e-08,-5.928839249999998e-09,1.899686212309111e-08,2,0.0290766599208826
-0.00495385,6,9,cathodic,Y,False,10.585420077495492,False,4.227499999999995e-08,-5.928839249999998e-09,1.899686212309111e-08,2,0.059636901336017595
nan,6,10,none,Y,False,nan,False,1.0944499999999993e-07,1.4801819420000002e-08,5.6045260448420824e-08,0,nan
nan,6,10,none,Y,False,nan,False,6.970700000000003e-08,-1.5614417929999994e-08,3.4589840823292006e-08,1,nan
nan,6,10,none,Y,False,nan,False,4.2745e-08,-4.213374469999992e-09,1.7350247325751205e-08,2,nan
nan,6,21,none,Y,False,nan,False,9.215899999999997e-08,-1.055080879e-08,4.343878811872535e-08,0,nan
nan,6,21,none,Y,False,nan,False,1.4213799999999997e-07,6.179555694e-08,7.333223016373664e-08,1,nan
nan,6,21,none,Y,False,nan,False,1.6440200000000002e-07,7.467803656e-08,8.348844860468272e-08,2,nan
nan,6,22,none,Y,False,nan,False,2.2819000000000014e-07,8.422187729000001e-08,7.905651198865314e-08,0,nan
nan,6,22,none,Y,False,nan,False,1.1461200000000005e-07,5.931825868000001e-08,5.860719981732618e-08,1,nan
nan,6,22,none,Y,False,nan,False,1.3509100000000005e-07,6.717096961e-08,6.92743036879978e-08,2,nan
nan,6,23,none,Y,False,nan,False,2.1541400000000005e-07,7.633331965e-08,7.28857004454327e-08,0,nan
nan,6,23,none,Y,False,nan,False,1.0578100000000001e-07,5.164866225e-08,5.0378627970620435e-08,1,nan
nan,6,23,none,Y,False,nan,False,1.1996600000000003e-07,6.058550683000001e-08,6.189009980154136e-08,2,nan
nan,6,24,none,Y,False,nan,False,2.04235e-07,7.048339654999999e-08,6.900572126918016e-08,0,nan
nan,6,24,none,Y,False,nan,False,1.0277400000000002e-07,4.608053647e-08,4.538206352975561e-08,1,nan
nan,6,24,none,Y,False,nan,False,1.1263900000000001e-07,5.566564716e-08,5.7067380306161296e-08,2,nan
nan,6,25,none,Y,False,nan,False,1.9747000000000003e-07,6.60276231e-08,6.6273099008037e-08,0,nan
nan,6,25,none,Y,False,nan,False,1.002380000000001e-07,4.1821139300000014e-08,4.183369369426856e-08,1,nan
nan,6,25,none,Y,False,nan,False,1.0503000000000003e-07,5.1921001120000014e-08,5.3540023350377454e-08,2,nan
nan,26,26,none,Y,True,nan,True,0.0,0.0,0.0,0,nan
nan,26,26,none,Y,True,nan,True,0.0,0.0,0.0,1,nan
nan,26,26,none,Y,True,nan,True,0.0,0.0,0.0,2,nan
-0.297231,26,27,anodic,Y,False,9.004569386419757,True,4.576010000000003e-07,2.5193554e-07,1.8492041574849693e-07,0,0.17665981934252356
nan,26,27,none,Y,False,nan,True,2.4679099999999987e-07,1.4116609e-07,1.0258592278492518e-07,1,nan
-0.297231,26,27,anodic,Y,False,8.087426590219264,True,1.50029e-07,8.569111399999997e-08,6.251522685473265e-08,2,0.06543858562092092
-0.297231,26,28,anodic,Y,False,19.16004738544589,True,5.470360000000002e-07,3.01448753e-07,2.2195052979709092e-07,0,0.2274722452928166
nan,26,28,none,Y,False,nan,True,3.1292799999999993e-07,1.78138691e-07,1.3004625970260812e-07,1,nan
nan,26,28,none,Y,False,nan,True,1.9916100000000012e-07,1.1466062599999999e-07,8.425123386231207e-08,2,nan
-0.297231,26,29,anodic,Y,False,16.197826071347073,True,5.940080000000004e-07,3.2489906e-07,2.396562489400674e-07,0,0.24784699291885912
0.297231,26,29,cathodic,Y,False,9.265475368703884,True,3.510690000000001e-07,1.9889282199999997e-07,1.455201448547995e-07,1,0.13363280504754146
nan,26,29,none,Y,False,nan,True,2.355180000000002e-07,1.33177938e-07,9.838898797240867e-08,2,nan
0.297231,26,30,cathodic,Y,False,6.927727793233757,True,6.247280000000001e-07,3.4080480199999993e-07,2.5184340999666364e-07,0,0.2109073683956259
-0.297231,26,30,anodic,Y,False,13.24562254291282,True,3.7389799999999987e-07,2.1293653300000002e-07,1.5625399011253596e-07,1,0.18716431504439035
0.292277,26,30,cathodic,Y,False,5.211925783496641,True,2.608830000000001e-07,1.4585384199999996e-07,1.0836482744755109e-07,2,0.12923298945489747
0.297231,26,31,cathodic,Y,False,9.68481387171195,True,1.46834e-07,7.4403699999999764e-09,5.73534471212234e-08,0,0.20421521192908196
0.297231,26,31,cathodic,Y,False,5.39942940834863,True,1.1019699999999999e-07,3.968105999999999e-08,4.894695070471707e-08,1,0.20112657479021884
-0.287323,26,31,anodic,Y,False,5.873527818064151,True,8.1825e-08,3.3081449999999995e-08,4.2759291257347095e-08,2,0.09273993069955672
-0.297231,26,32,anodic,Y,False,5.299465041508119,True,5.006280000000003e-07,2.7621629699999993e-07,2.0695479882674645e-07,0,0.22838779076360327
0.297231,26,32,cathodic,Y,False,14.846621638849076,True,5.006280000000003e-07,2.7621629699999993e-07,2.0695479882674645e-07,0,0.21598371762022206
0.292277,26,32,cathodic,Y,False,8.990768704295268,True,2.85121e-07,1.6530129400000001e-07,1.2545106099456627e-07,1,0.18748638074801996
0.292277,26,32,cathodic,Y,False,5.308782596831373,True,1.9540399999999997e-07,1.0820665479999999e-07,8.710587381345208e-08,2,0.17017216601892252
-0.297231,26,33,anodic,Y,False,12.971668319106291,True,5.867750000000004e-07,3.2140998530000003e-07,2.4045013973004265e-07,0,0.32090053434684335
0.297231,26,33,cathodic,Y,False,5.345753874954868,True,5.867750000000004e-07,3.2140998530000003e-07,2.4045013973004265e-07,0,0.2656012028898645
-0.297231,26,33,anodic,Y,False,6.916951677607337,True,3.44775e-07,1.977945963e-07,1.4943613128768658e-07,1,0.21788734518938224
0.297231,26,33,cathodic,Y,False,5.969039854707324,True,3.44775e-07,1.977945963e-07,1.4943613128768658e-07,1,0.2214360541265695
0.297231,26,33,cathodic,Y,False,7.427799226822602,True,2.4312699999999995e-07,1.327429892e-07,1.0523838385845637e-07,2,0.18036052243730893
-0.297231,26,34,anodic,Y,False,18.45957168969195,True,6.260430000000001e-07,3.3943408249999984e-07,2.5440277092261e-07,0,0.34390218939107103
0.297231,26,34,cathodic,Y,False,5.313961641692229,True,6.260430000000001e-07,3.3943408249999984e-07,2.5440277092261e-07,0,0.2720697602890037
-0.297231,26,34,anodic,Y,False,12.937669860186881,True,3.770909999999997e-07,2.1193885599999996e-07,1.6062971464321675e-07,1,0.2439824348980887
-0.297231,26,34,anodic,Y,False,10.318499583070443,True,2.700899999999999e-07,1.439871391e-07,1.1447297726122199e-07,2,0.21045623579265238
-0.297231,26,35,anodic,Y,False,17.05653034568167,True,6.440800000000002e-07,3.4793505439999996e-07,2.6145588367151523e-07,0,0.36727078711962224
-0.297231,26,35,anodic,Y,False,9.050465598408064,True,3.9278099999999976e-07,2.1843226599999994e-07,1.6645198427832956e-07,1,0.26194130386977205
0.297231,26,35,cathodic,Y,False,5.846814538805829,True,3.9278099999999976e-07,2.1843226599999994e-07,1.6645198427832956e-07,1,0.2433826795280115
0.297231,26,35,cathodic,Y,False,7.011145264032037,True,2.822079999999998e-07,1.4890421359999997e-07,1.1952479702743866e-07,2,0.19381106733874146
nan,26,76,none,T,False,nan,True,6.589239999999998e-07,3.8045470672999996e-07,2.7292654065827985e-07,0,nan
nan,26,76,none,T,False,nan,True,5.731529999999998e-07,3.1102631170999997e-07,2.310675534769838e-07,1,nan
nan,26,76,none,T,False,nan,True,4.850329999999999e-07,2.4394360851000003e-07,1.9292301579964242e-07,2,nan
nan,26,77,none,T,False,nan,True,8.130859999999997e-07,4.817743727499998e-07,3.410125001803526e-07,0,nan
nan,26,77,none,T,False,nan,True,5.712740000000001e-07,3.2871886509e-07,2.4330217784609234e-07,1,nan
nan,26,77,none,T,False,nan,True,4.7338399999999997e-07,2.511482038e-07,1.99450059142918e-07,2,nan
nan,26,78,none,T,False,nan,True,7.819909999999998e-07,4.817058014599999e-07,3.4166864978860793e-07,0,nan
nan,26,78,none,T,False,nan,True,5.568069999999999e-07,3.264378753999999e-07,2.431570217545275e-07,1,nan
nan,26,78,none,T,False,nan,True,4.487710000000001e-07,2.477662379e-07,1.990717361793468e-07,2,nan
nan,26,79,none,T,False,nan,True,7.758839999999998e-07,4.7540119723999994e-07,3.38391631562015e-07,0,nan
nan,26,79,none,T,False,nan,True,5.468480000000001e-07,3.198448581099999e-07,2.4000203204819516e-07,1,nan
nan,26,79,none,T,False,nan,True,4.323310000000001e-07,2.4108492373e-07,1.962977988617661e-07,2,nan
nan,26,80,none,T,False,nan,True,7.41877e-07,4.6608382760000004e-07,3.330116297691205e-07,0,nan
nan,26,80,none,T,False,nan,True,5.147199999999998e-07,3.1112972237999995e-07,2.3577993424833517e-07,1,nan
nan,26,80,none,T,False,nan,True,4.0386499999999994e-07,2.3321241892e-07,1.9306581197518053e-07,2,nan
nan,26,81,none,T,False,nan,True,4.013289999999998e-07,2.3660192629999997e-07,1.8969533042837615e-07,0,nan
nan,26,81,none,T,False,nan,True,4.0292599999999986e-07,2.1636452468999999e-07,1.810313400428011e-07,1,nan
nan,26,81,none,T,False,nan,True,3.251399999999999e-07,1.7115479229999997e-07,1.6024352971264805e-07,2,nan
nan,26,82,none,T,False,nan,True,6.744249999999999e-07,4.1481572949999997e-07,2.983933324126781e-07,0,nan
nan,26,82,none,T,False,nan,True,4.594799999999999e-07,2.7303157453999996e-07,2.1233709180864432e-07,1,nan
nan,26,82,none,T,False,nan,True,3.5586e-07,2.0318504690000002e-07,1.7595244955584232e-07,2,nan
nan,26,83,none,T,False,nan,True,6.846649999999999e-07,4.312230626e-07,3.10140413312974e-07,0,nan
nan,26,83,none,T,False,nan,True,4.630510000000002e-07,2.834810194e-07,2.195683246170566e-07,1,nan
nan,26,83,none,T,False,nan,True,3.525720000000001e-07,2.1050046204999998e-07,1.8080079364037363e-07,2,nan
nan,26,84,none,T,False,nan,True,6.80813e-07,4.3419734749999997e-07,3.132014077196918e-07,0,nan
nan,26,84,none,T,False,nan,True,4.448249999999998e-07,2.8551861874999997e-07,2.216108678322388e-07,1,nan
nan,26,84,none,T,False,nan,True,3.3632e-07,2.1098338100000004e-07,1.8224907449491032e-07,2,nan
nan,26,85,none,T,False,nan,True,6.66909e-07,4.325109867599999e-07,3.132046061474479e-07,0,nan
nan,26,85,none,T,False,nan,True,4.4257099999999984e-07,2.8363602111e-07,2.2147356837128422e-07,1,nan
nan,26,85,none,T,False,nan,True,3.212890000000001e-07,2.0902927469999994e-07,1.820553551946119e-07,2,nan
nan,26,86,none,T,False,nan,True,2.869050000000001e-07,1.8747196199999997e-07,1.681759063197683e-07,0,nan
nan,26,86,none,T,False,nan,True,3.1142500000000016e-07,1.8185698375e-07,1.6644953058102522e-07,1,nan
nan,26,86,none,T,False,nan,True,2.5703099999999984e-07,1.4250085332e-07,1.5140076229439853e-07,2,nan
nan,26,87,none,T,False,nan,True,5.996460000000002e-07,3.8420682173e-07,2.8131592555354563e-07,0,nan
nan,26,87,none,T,False,nan,True,3.8648600000000006e-07,2.4721015592e-07,2.0060275437504575e-07,1,nan
nan,26,87,none,T,False,nan,True,2.8869e-07,1.7940966451000003e-07,1.684653705452754e-07,2,nan
nan,26,88,none,T,False,nan,True,6.15052e-07,4.0424323966999996e-07,2.958716739941088e-07,0,nan
nan,26,88,none,T,False,nan,True,3.9522300000000026e-07,2.607117691e-07,2.0985491278300434e-07,1,nan
nan,26,88,none,T,False,nan,True,2.8624689e-07,1.888219224e-07,1.7446210360281442e-07,2,nan
nan,26,89,none,T,False,nan,True,6.2191e-07,4.0981788779999997e-07,3.0066335146043517e-07,0,nan
nan,26,89,none,T,False,nan,True,3.916530000000002e-07,2.646216706e-07,2.1337087153299807e-07,1,nan
nan,26,89,none,T,False,nan,True,2.8897170000000005e-07,1.916289803e-07,1.7713422750590743e-07,2,nan
nan,26,90,none,T,False,nan,True,6.332769999999999e-07,4.1055254749999996e-07,3.020998899579715e-07,0,nan
nan,26,90,none,T,False,nan,True,3.847960000000002e-07,2.647269487e-07,2.1454190052441625e-07,1,nan
nan,26,90,none,T,False,nan,True,2.8596532e-07,1.9126169470000003e-07,1.778933546854238e-07,2,nan
nan,26,91,none,T,False,nan,True,2.6717699999999996e-07,1.4013071436e-07,1.5246895329306641e-07,0,nan
nan,26,91,none,T,False,nan,True,2.67552641e-07,1.4804460320999997e-07,1.5424673347784038e-07,1,nan
nan,26,91,none,T,False,nan,True,2.590972e-07,1.1440411549999999e-07,1.4480219068897237e-07,2,nan
nan,26,92,none,T,False,nan,True,5.519209999999999e-07,3.5601047465999997e-07,2.658520654668936e-07,0,nan
nan,26,92,none,T,False,nan,True,3.381990000000002e-07,2.2294813767e-07,1.9072798700767477e-07,1,nan
nan,26,92,none,T,False,nan,True,2.7412835000000003e-07,1.571750196e-07,1.6239700025504114e-07,2,nan
nan,26,93,none,T,False,nan,True,5.827360000000001e-07,3.8022642115999997e-07,2.833912287288856e-07,0,nan
nan,26,93,none,T,False,nan,True,3.4007800000000017e-07,2.3952932664e-07,2.0167209515517012e-07,1,nan
nan,26,93,none,T,False,nan,True,2.8051655e-07,1.6916604650000003e-07,1.6953421660265754e-07,2,nan
nan,26,94,none,T,False,nan,True,5.953240000000001e-07,3.879420394e-07,2.8982884063065263e-07,0,nan
nan,26,94,none,T,False,nan,True,3.594300000000001e-07,2.4494327334e-07,2.0643448000875054e-07,1,nan
nan,26,94,none,T,False,nan,True,2.773228e-07,1.7295761600000002e-07,1.7293592459954683e-07,2,nan
nan,26,95,none,T,False,nan,True,5.95136e-07,3.8994682549e-07,2.923275699923227e-07,0,nan
nan,26,95,none,T,False,nan,True,3.5576600000000017e-07,2.4606494825e-07,2.0850740753225229e-07,1,nan
nan,26,95,none,T,False,nan,True,2.7910780000000003e-07,1.7346680420000002e-07,1.7469736539136937e-07,2,nan
