E,current_mean,current_sd,day,n_replicates,polished
-0.23283,-1.132984e-06,5.977307411089602e-08,Y,10,False
-0.237784,-1.1496215e-06,5.8388037860221536e-08,Y,10,False
-0.242738,-1.1662214e-06,5.726244333126788e-08,Y,10,False
-0.247692,-1.1836294e-06,5.6178037217403735e-08,Y,10,False
-0.252646,-1.2018731e-06,5.503723198879909e-08,Y,10,False
-0.2576,-1.220305e-06,5.423994918466977e-08,Y,10,False
-0.262554,-1.2400144000000001e-06,5.3200435132305696e-08,Y,10,False
-0.267507,-1.2596018999999999e-06,5.244273841364715e-08,Y,10,False
-0.272461,-1.2807769999999999e-06,5.161260735733295e-08,Y,10,False
-0.277415,-1.301548e-06,5.102166158059184e-08,Y,10,False
-0.282369,-1.3241414e-06,5.019736783537558e-08,Y,10,False
-0.287323,-1.3449876000000002e-06,4.9635465387832e-08,Y,10,False
-0.292277,-1.3692534e-06,4.899747583113059e-08,Y,10,False
-0.297231,-1.3920536999999997e-06,4.867609345013902e-08,Y,10,False
-0.302184,-1.4174186e-06,4.816347414379492e-08,Y,10,False
-0.297231,-1.2816600000000001e-06,4.424817291394326e-08,Y,10,False
-0.292277,-1.1857806e-06,4.0321313578690797e-08,Y,10,False
-0.287323,-1.1049606e-06,3.716993015328386e-08,Y,10,False
-0.282369,-1.0378844e-06,3.395917214080593e-08,Y,10,False
-0.277415,-9.762382000000002e-07,3.145472621191712e-08,Y,10,False
-0.272461,-9.223331e-07,2.8969734549660215e-08,Y,10,False
-0.267507,-8.719885999999999e-07,2.7015252367669803e-08,Y,10,False
-0.262554,-8.267076e-07,2.4948743300348147e-08,Y,10,False
-0.2576,-7.837563e-07,2.3173815175514124e-08,Y,10,False
-0.252646,-7.443747999999999e-07,2.1490568638358547e-08,Y,10,False
-0.247692,-7.066282000000001e-07,2.0005393216163813e-08,Y,10,False
-0.242738,-6.713334e-07,1.8623755064731485e-08,Y,10,False
-0.237784,-6.376545000000001e-07,1.716185554750224e-08,Y,10,False
-0.23283,-6.05159e-07,1.6099359911361545e-08,Y,10,False
-0.227877,-5.747026e-07,1.4552621208718528e-08,Y,10,False
-0.222923,-5.446872999999999e-07,1.380253643397152e-08,Y,10,False
-0.217969,-5.166074000000001e-07,1.2409766719984866e-08,Y,10,False
-0.213015,-4.881893e-07,1.1596100235759334e-08,Y,10,False
-0.208061,-4.622513e-07,1.038497475576025e-08,Y,10,False
-0.203107,-4.3516730000000005e-07,9.562175206394084e-09,Y,10,False
-0.198154,-4.108639000000001e-07,8.459275625016599e-09,Y,10,False
-0.1932,-3.850295e-07,7.713385583948641e-09,Y,10,False
-0.188246,-3.623418e-07,6.776162939140246e-09,Y,10,False
-0.183292,-3.374467e-07,5.957953601885649e-09,Y,10,False
-0.178338,-3.1527579999999996e-07,5.202067106235533e-09,Y,10,False
-0.173384,-2.9147030000000003e-07,4.3023363691526176e-09,Y,10,False
-0.16843,-2.6998540000000004e-07,3.805470541791699e-09,Y,10,False
-0.163477,-2.4714759999999996e-07,2.615791836773966e-09,Y,10,False
-0.158523,-2.2630149999999994e-07,2.7848863232335582e-09,Y,10,False
-0.153569,-2.041494e-07,1.3951988468394834e-09,Y,10,False
-0.148615,-1.8400769999999999e-07,2.5158809391543177e-09,Y,10,False
-0.143661,-1.625416e-07,1.8327886584837505e-09,Y,10,False
-0.138707,-1.424565e-07,3.040052676809694e-09,Y,10,False
-0.133754,-1.2198639999999999e-07,3.327981989801692e-09,Y,10,False
-0.1288001,-1.02258139e-07,4.1709165776826295e-09,Y,10,False
-0.1238463,-8.2558066e-08,5.032965023310925e-09,Y,10,False
-0.1188924,-6.3008305e-08,5.533769402753423e-09,Y,10,False
-0.1139386,-4.4200694e-08,6.6624930098061306e-09,Y,10,False
-0.1089847,-2.4923367e-08,7.016317379507491e-09,Y,10,False
-0.1040309,-6.773369400000001e-09,8.368286860803408e-09,Y,10,False
-0.09907701,1.21187884e-08,8.490385303330169e-09,Y,10,False
-0.09412316,2.8793864000000003e-08,1.018466656925138e-08,Y,10,False
-0.08916931,4.7573287e-08,1.0147914329991437e-08,Y,10,False
-0.08421546,6.4417462e-08,1.1866660153391285e-08,Y,10,False
-0.07926161,8.2501702e-08,1.2050650015211075e-08,Y,10,False
-0.07430775,9.866008300000001e-08,1.3538732117046879e-08,Y,10,False
-0.06935391,1.1624642199999999e-07,1.4011084541000465e-08,Y,10,False
-0.06440006,1.318126e-07,1.539529018455536e-08,Y,10,False
-0.05944621,1.4898549e-07,1.6001214639343265e-08,Y,10,False
-0.05449236,1.6387550000000002e-07,1.713431995375882e-08,Y,10,False
-0.0495385,1.8054109999999997e-07,1.8226291074220836e-08,Y,10,False
-0.04458466,1.9534690000000002e-07,1.910793955663456e-08,Y,10,False
-0.0396308,2.113078e-07,2.0453289622943294e-08,Y,10,False
