group,file,model,fit_start_s,fit_end_s,n_points,A,A_se,beta,beta_se,C,C_se,M_linear_drift,M_linear_drift_se,rmse,r2,success,message,time_min_s,time_max_s,current_min_a,current_max_a
新的第一个,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/新的第一个.csv,beta_plus_linear_drift,0.5,120.0006,2391,1.4730596803071826e-06,1.3648837832058672e-08,0.2822804438999191,0.003081354962718866,-1.0593391255736021e-07,1.2198686853797513e-08,3.1715859320775166e-10,3.516437230923504e-11,2.447831732229212e-08,0.9856861980087943,True,,0.05063566,120.0006,3.01748e-07,1.090168e-05
新的第一个,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/新的第一个.csv,beta,1.0,120.0006,2381,1.4068427237864795e-06,8.173644058019346e-09,0.1973091966741628,0.0018636174578465304,-2.4566507090069477e-07,8.310798536442462e-09,,,1.8136238484756328e-08,0.9883443192569331,True,,0.05063566,120.0006,3.01748e-07,1.090168e-05
新的第一个,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/新的第一个.csv,beta_plus_linear_drift,1.0,120.0006,2381,1.6567535440500976e-06,2.787180727524275e-08,0.16537869192772664,0.0033157040942585984,-4.862041848062185e-07,2.7427323028106365e-08,3.786108509845331e-10,3.185162493974296e-11,1.7524186886226298e-08,0.9891177434684066,True,,0.05063566,120.0006,3.01748e-07,1.090168e-05
新的第一个,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/新的第一个.csv,beta,2.0,120.0006,2361,2.3825228134230715e-06,4.4348211146982615e-08,0.0694391649722355,0.0015757843150401747,-1.4107197472452311e-06,4.4897910196949805e-08,,,1.0440441631819651e-08,0.9941232928855486,True,,0.05063566,120.0006,3.01748e-07,1.090168e-05
新的第一个,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/新的第一个.csv,beta_plus_linear_drift,2.0,120.0006,2361,6.263717761037792e-06,7.382178894602833e-07,0.025482285800539857,0.0031096115554696976,-5.2880120771746765e-06,7.383808981653235e-07,4.039207687273969e-10,2.4863522999395816e-11,9.784265724334211e-09,0.9948387750860351,True,,0.05063566,120.0006,3.01748e-07,1.090168e-05
新的第一个,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/新的第一个.csv,beta,5.0,120.0006,2301,0.0007775329564418525,0.0189020464198249,0.00013107460766392868,0.0031876307102821117,-0.0007767383780939435,0.018902047387224993,,,1.4052704333341045e-08,0.9810332646065277,True,,0.05063566,120.0006,3.01748e-07,1.090168e-05
新的第一个,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/新的第一个.csv,beta_plus_linear_drift,5.0,120.0006,2301,0.024898031048670378,2.0010498134823074,3.328371026878722e-06,0.00026750166242014886,-0.024897270186152967,2.0010498134886454,-6.526519926584442e-10,1.1670002870431258e-11,9.112816089512954e-09,0.9920241316128798,True,,0.05063566,120.0006,3.01748e-07,1.090168e-05
等一分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等一分钟.csv,beta,0.2,120.0006,2397,1.0361054737657343e-06,5.073753533565656e-09,0.4681942476537475,0.0024743163357214435,1.974588728739466e-07,2.4202224226227178e-09,,,3.415800489219575e-08,0.9692685564789784,True,,0.05063465,120.0006,3.35944e-07,8.626551e-06
等一分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等一分钟.csv,beta_plus_linear_drift,0.2,120.0006,2397,1.3578656241301426e-06,7.222953564339116e-09,0.3735915885691739,0.0021115782631637805,-4.7167554918909125e-08,5.601063305501508e-09,1.4797251267819314e-09,2.4959793532005977e-11,2.0365599825497078e-08,0.9890757311599429,True,,0.05063465,120.0006,3.35944e-07,8.626551e-06
等一分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等一分钟.csv,beta,0.5,120.0006,2391,9.015156389146023e-07,5.747973882475529e-09,0.3734510226982234,0.00327610677434305,1.5641451244341044e-07,3.817271639661924e-09,,,3.3570938385931494e-08,0.9508459923600758,True,,0.05063465,120.0006,3.35944e-07,8.626551e-06
等一分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等一分钟.csv,beta_plus_linear_drift,0.5,120.0006,2391,1.457010007934623e-06,1.496241127709435e-08,0.23501982717419245,0.00290828235289484,-3.2790015840695535e-07,1.4079405318488625e-08,1.7770745827920837e-09,2.996788978897016e-11,1.909993099869744e-08,0.9840890699174781,True,,0.05063465,120.0006,3.35944e-07,8.626551e-06
等一分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等一分钟.csv,beta,1.0,120.0006,2381,7.942791813264687e-07,6.249272511397456e-09,0.3027349537446056,0.0037800348708252195,1.231372003779409e-07,5.226265422356869e-09,,,2.9133920635566747e-08,0.9422452950985035,True,,0.05063465,120.0006,3.35944e-07,8.626551e-06
等一分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等一分钟.csv,beta_plus_linear_drift,1.0,120.0006,2381,1.865792114124039e-06,4.3262668690049044e-08,0.12553046109662463,0.003376605586217089,-8.919072382610677e-07,4.30638455118059e-08,1.87873205440796e-09,3.040131854745403e-11,1.5345128166168856e-08,0.9839774902788033,True,,0.05063465,120.0006,3.35944e-07,8.626551e-06
等一分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等一分钟.csv,beta,2.0,120.0006,2361,6.958348110509677e-07,7.811191340419854e-09,0.22982175211425906,0.004285748024637202,8.193788681421606e-08,7.666310562221706e-09,,,2.3251202667375154e-08,0.9373783869896041,True,,0.05063465,120.0006,3.35944e-07,8.626551e-06
等一分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等一分钟.csv,beta_plus_linear_drift,2.0,120.0006,2361,4.578471535793086e-05,5.633713447159474e-05,0.003170888506965528,0.003918927500473471,-4.496938030008284e-05,5.633739271322415e-05,1.9014031300420594e-09,3.033216111355159e-11,1.1281437919223665e-08,0.9852577991983201,True,,0.05063465,120.0006,3.35944e-07,8.626551e-06
等一分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等一分钟.csv,beta,5.0,120.0006,2301,6.188769658940131e-07,1.603715817261836e-08,0.13104680961347506,0.004855764380487462,-1.0323760153457123e-08,1.6505588940010146e-08,,,1.4522481067991201e-08,0.9392856371064132,True,,0.05063465,120.0006,3.35944e-07,8.626551e-06
等一分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等一分钟.csv,beta_plus_linear_drift,5.0,120.0006,2301,0.020300422801616005,1.9182183088022362,4.072016751706069e-06,0.00038477293515464396,-0.020299791965116023,1.9182183087998068,8.835623248826308e-10,1.124286055956555e-11,8.705273028065085e-09,0.9781840264957393,True,,0.05063465,120.0006,3.35944e-07,8.626551e-06
等三分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等三分钟.csv,beta,0.2,120.0006,2397,1.2248920614945518e-06,5.6369740585844004e-09,0.4543967449514284,0.002339771207588597,1.5108584683325615e-07,2.8182339837926037e-09,,,3.742538078255882e-08,0.9725351423644782,True,,0.05063674,120.0006,3.25328e-07,9.574523e-06
等三分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等三分钟.csv,beta_plus_linear_drift,0.2,120.0006,2397,1.612625769310422e-06,7.818984926470991e-09,0.3589827745211534,0.0018887178441390356,-1.4885010187906144e-07,6.220682807344356e-09,1.7204110241808902e-09,2.610365498207092e-11,2.080528077945994e-08,0.9915122601651188,True,,0.05063674,120.0006,3.25328e-07,9.574523e-06
等三分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等三分钟.csv,beta,0.5,120.0006,2391,1.080464042452443e-06,6.673945246366356e-09,0.3589716846817165,0.0031564596213003115,9.539545993124112e-08,4.660171603055869e-09,,,3.7660564365662564e-08,0.9550276280158382,True,,0.05063674,120.0006,3.25328e-07,9.574523e-06
等三分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等三分钟.csv,beta_plus_linear_drift,0.5,120.0006,2391,1.8057614267474538e-06,1.8115001898824023e-08,0.2164532709610327,0.002622482837190787,-5.483324108674937e-07,1.7311781160529214e-08,2.1361136059182973e-09,3.204069507791707e-11,1.9694875203050204e-08,0.987700750462493,True,,0.05063674,120.0006,3.25328e-07,9.574523e-06
等三分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等三分钟.csv,beta,1.0,120.0006,2381,9.685766328285954e-07,7.697871336206998e-09,0.28768161317967295,0.0037031577073753687,4.701944222190471e-08,6.7109745949912e-09,,,3.3469094406416186e-08,0.9459401606069854,True,,0.05063674,120.0006,3.25328e-07,9.574523e-06
等三分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等三分钟.csv,beta_plus_linear_drift,1.0,120.0006,2381,2.6287417226221735e-06,6.941852241460661e-08,0.10169592599013742,0.0030473720551462235,-1.548304287357209e-06,6.932990418420945e-08,2.3352857903922546e-09,3.317877261738264e-11,1.5872666987080083e-08,0.9878413141512876,True,,0.05063674,120.0006,3.25328e-07,9.574523e-06
等三分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等三分钟.csv,beta,2.0,120.0006,2361,8.720108961976412e-07,1.0486245225923763e-08,0.21491762783798093,0.004261725253153826,-1.6147926588490523e-08,1.0486488231283908e-08,,,2.7455717373370486e-08,0.9400675221428666,True,,0.05063674,120.0006,3.25328e-07,9.574523e-06
等三分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等三分钟.csv,beta_plus_linear_drift,2.0,120.0006,2361,0.019877049692179953,2.441624265066191,8.681774235877242e-06,0.0010664503767530789,-0.01987614861640603,2.4416242651464675,2.231853640007825e-09,1.686237392410047e-11,1.1785067478433091e-08,0.98895766828195,True,,0.05063674,120.0006,3.25328e-07,9.574523e-06
等三分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等三分钟.csv,beta,5.0,120.0006,2301,8.259227664230886e-07,2.517404058341226e-08,0.11834842768744007,0.005001497956497753,-1.6579484083244417e-07,2.584424975596586e-08,,,1.827459686699956e-08,0.9378679318164825,True,,0.05063674,120.0006,3.25328e-07,9.574523e-06
等三分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等三分钟.csv,beta_plus_linear_drift,5.0,120.0006,2301,0.031249652764477706,2.428255174706434,3.2590030087687704e-06,0.0002532418724104921,-0.031248963979620993,2.428255174701027,1.0615943701726591e-09,1.4250357142774904e-11,1.1137673988144982e-08,0.9769214136844208,True,,0.05063674,120.0006,3.25328e-07,9.574523e-06
等三十秒,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等三十秒.csv,beta,0.2,120.0006,2397,1.0393595853218996e-06,4.924237495086959e-09,0.4627190561202455,0.002400009248027436,1.8375191496260942e-07,2.392905452471576e-09,,,3.2975437665728363e-08,0.9710703718467566,True,,0.05063552,120.0006,3.25422e-07,8.342159e-06
等三十秒,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等三十秒.csv,beta_plus_linear_drift,0.2,120.0006,2397,1.35995456804239e-06,6.973839255883217e-09,0.36887307468391545,0.002023897376649788,-6.148103514369833e-08,5.453342045955032e-09,1.4554787795710036e-09,2.384253064383987e-11,1.9308247825502487e-08,0.9900814669788176,True,,0.05063552,120.0006,3.25422e-07,8.342159e-06
等三十秒,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等三十秒.csv,beta,0.5,120.0006,2391,9.092900587993585e-07,5.6545162302887224e-09,0.3673697851332565,0.003189149155880268,1.3995286844905254e-07,3.835525943332528e-09,,,3.256961360583118e-08,0.9536413517962835,True,,0.05063552,120.0006,3.25422e-07,8.342159e-06
等三十秒,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等三十秒.csv,beta_plus_linear_drift,0.5,120.0006,2391,1.4802939938111956e-06,1.4827502573212028e-08,0.22862065551685737,0.002762802482507755,-3.612886474677842e-07,1.4031333123965904e-08,1.7725989338231143e-09,2.8503913575045934e-11,1.7943382877350066e-08,0.9859293487284811,True,,0.05063552,120.0006,3.25422e-07,8.342159e-06
等三十秒,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等三十秒.csv,beta,1.0,120.0006,2381,8.073587347200826e-07,6.305031926102576e-09,0.2956250492898035,0.0037014468499943446,1.0260148343228576e-07,5.379899611885174e-09,,,2.847536882631863e-08,0.9451907349947322,True,,0.05063552,120.0006,3.25422e-07,8.342159e-06
等三十秒,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等三十秒.csv,beta_plus_linear_drift,1.0,120.0006,2381,1.993054992587009e-06,4.7590612515609675e-08,0.11586149000595296,0.00318230533554935,-1.027754703056387e-06,4.7448428404624555e-08,1.905549697334207e-09,2.891131909155394e-11,1.4281724675518045e-08,0.9862127841411515,True,,0.05063552,120.0006,3.25422e-07,8.342159e-06
等三十秒,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等三十秒.csv,beta,2.0,120.0006,2361,7.180190505853535e-07,8.283377738092185e-09,0.22154490708110497,0.004231534779258435,5.372411296716509e-08,8.219772901286488e-09,,,2.3002745384034087e-08,0.9399708754524799,True,,0.05063552,120.0006,3.25422e-07,8.342159e-06
